============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 2000000.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=800000.E+00 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000100   4.7888E+05 -1.1352E+03 -1.6930E+04
0000101   4.8105E+05 -9.5072E+03 -3.8436E+02
0000102   4.9029E+05 -6.8597E+03  1.1146E+04
0000103   4.8058E+05 -3.9287E+04 -1.8660E+04
0000104   4.7562E+05  5.2315E+03 -2.4747E+04
0000105   4.7411E+05  2.9790E+04 -1.9773E+04
0000106   4.7367E+05  4.0825E+02  5.4998E+03
0000107   4.8094E+05  2.4717E+04  6.5317E+02
0000108   4.8945E+05 -2.1053E+04  5.3247E+03
0000109   4.8254E+05  1.3960E+04  2.4266E+04
0000110   4.9052E+05  1.7632E+04  2.9254E+04
0000111   4.8560E+05  5.0573E+03 -3.2618E+04
0000112   4.8261E+05  3.0943E+04  2.8843E+03
0000113   4.8345E+05 -3.3474E+04  2.3994E+04
0000114   4.8163E+05  3.9916E+04  1.5684E+04
0000115   4.8960E+05  2.4309E+03 -7.9401E+03
0000116   4.7496E+05  3.8076E+03  3.8247E+03
0000117   4.9165E+05  1.9631E+04  2.0288E+04
0000118   4.7502E+05  2.2829E+04  1.5419E+04
0000119   4.9528E+05  5.5814E+03  2.2059E+04
0000120   4.8557E+05 -2.7016E+04 -2.4490E+04
0000121   4.8288E+05 -1.3195E+04 -1.9170E+03
0000122   4.8677E+05 -6.2454E+03  9.4056E+03
0000123   4.8269E+05  4.4925E+03 -1.7140E+03
0000124   4.7568E+05 -8.4558E+03 -2.7803E+04
0000125   4.7829E+05 -9.0526E+03 -1.6386E+04
0000126   4.8601E+05  1.0261E+04 -3.0005E+04
0000127   4.8475E+05 -5.2044E+03 -2.4440E+04
0000128   4.8750E+05 -2.0687E+03 -1.6101E+04
0000129   4.8957E+05  8.7700E+03 -3.3537E+03
0000130   4.9573E+05  3.9554E+03  1.7485E+04
0000131   4.9290E+05  1.8892E+04  3.1814E+04
0000132   4.8939E+05 -5.5614E+03  2.5639E+03
0000133   4.8243E+05  2.8821E+03 -9.9161E+03
0000134   4.8262E+05 -7.7091E+03  2.5165E+04
0000135   4.8359E+05 -1.9493E+04  7.0779E+02
0000136   4.8076E+05 -1.3453E+03 -6.7903E+03
0000137   4.6920E+05 -3.1024E+04 -1.4911E+04
0000138   4.9072E+05 -1.9467E+04 -1.7547E+02
0000139   4.8582E+05  8.6393E+03  1.0605E+04
0000140   4.7590E+05 -3.1295E+04  5.8323E+04
0000141   4.8648E+05 -1.1232E+04 -3.2801E+04
0000142   4.8961E+05  1.6670E+04 -5.3871E+04
0000143   4.8217E+05 -4.1022E+03 -1.5300E+03
0000144   4.8357E+05  1.4893E+04 -1.2280E+04
0000145   4.8190E+05 -1.8210E+01  1.6552E+04
0000146   4.8779E+05 -1.1468E+04  1.5400E+04
0000147   4.6816E+05 -6.9263E+03 -1.5417E+04
0000148   4.7278E+05  5.2499E+03  2.3105E+04
0000149   4.8221E+05  2.2738E+03 -5.7749E+03
0000150   4.8644E+05 -2.1452E+04  1.3277E+04
0000151   4.9391E+05 -4.0677E+03  2.1788E+04
0000152   4.8042E+05 -4.7363E+03 -1.1391E+04
0000153   4.8958E+05 -1.7280E+04  7.5643E+03
0000154   4.9023E+05  1.0010E+04 -1.7786E+04
0000155   4.8398E+05 -3.4443E+04 -8.1367E+03
0000156   4.9799E+05 -1.7068E+04 -1.2832E+04
0000157   4.7949E+05  1.0987E+04 -2.3820E+04
0000158   4.8108E+05 -2.3936E+04  4.2513E+03
0000159   4.9146E+05 -3.4691E+04  1.3861E+04
0000160   4.7412E+05  5.6365E+04 -4.0985E+03
0000161   4.7715E+05  1.2250E+04 -2.0257E+04
0000162   4.7420E+05  4.8340E+04 -2.3753E+04
0000163   4.7215E+05  1.0653E+04  1.6793E+03
0000164   4.7896E+05 -8.0572E+03  8.6075E+03
0000165   4.8867E+05  2.4206E+04  2.0649E+04
0000166   4.7852E+05 -4.7520E+04 -2.6224E+04
0000167   4.7933E+05 -1.2671E+04 -2.8861E+04
0000168   4.7721E+05  1.2163E+04 -3.0463E+04
0000169   4.7764E+05 -4.2025E+03 -3.8929E+04
0000170   4.8353E+05 -2.8163E+04 -7.4528E+03
0000171   3.6584E+05 -2.7595E+05  4.7073E+02
0000172   4.9893E+05 -1.2799E+04  2.6034E+03
0000173   4.8760E+05  2.1126E+04  1.0541E+04
0000174   3.8067E+05  1.2433E+05  2.2424E+04
0000175   4.9797E+05 -6.1485E+03  5.6393E+03
0000176   4.8414E+05 -2.0873E+04  1.8113E+04
0000177   4.9547E+05  1.3219E+04  2.8938E+04
0000178   4.7833E+05 -2.9681E+03 -1.0522E+04
0000179   4.7576E+05 -9.4226E+03  6.1902E+03
0000180   4.7928E+05  4.7743E+03  1.4681E+04
0000181   4.9152E+05 -6.3023E+03  4.0720E+03
0000182   4.8648E+05  1.5324E+04  7.3063E+03
0000183   4.8427E+05  3.9128E+03  1.2955E+04
0000184   5.0490E+05  2.3091E+03 -3.1464E+04
0000185   4.8864E+05 -3.3442E+03 -1.0157E+03
0000186   4.9450E+05  1.4036E+04 -3.7385E+03
0000187   4.8403E+05  2.7753E+04  2.3021E+04
0000188   4.8505E+05 -4.3004E+03 -1.1808E+04
0000189   4.8837E+05  8.5449E+03 -2.0033E+04
0000190   4.9560E+05 -2.4673E+04  2.1782E+03
0000191   4.8172E+05  2.6548E+03  1.1639E+04
0000192   4.7510E+05 -2.0337E+04 -3.0267E+03
0000193   4.8690E+05  2.8288E+04 -2.4500E+03
0000194   4.7256E+05 -6.8384E+03 -5.1015E+04
0000195   4.8364E+05 -9.7360E+03 -2.4320E+04
0000196   4.8837E+05 -2.1280E+04 -4.4750E+04
0000197   4.8787E+05  1.5825E+04  1.5309E+04
0000198   4.8999E+05 -2.1351E+04 -3.9425E+04
0000199   4.8285E+05  8.5997E+03  2.6860E+04
0000200   4.7622E+05  1.9930E+04  3.3443E+03
0000201   4.8061E+05 -3.5825E+04  7.7123E+03
0000202   4.8786E+05 -1.6464E+04  1.5783E+04
0000203   4.7590E+05  3.9415E+04  9.1759E+03
0000204   4.7873E+05  1.2517E+04  9.3049E+03
0000205   4.7552E+05 -3.0541E+03 -1.8957E+04
0000206   4.6474E+05  1.7956E+04 -2.5358E+04
0000207   4.7537E+05 -1.7810E+04  1.1083E+04
0000208   4.8724E+05 -2.1436E+04  4.1597E+03
0000209   4.8996E+05  2.1926E+04 -5.0594E+04
0000210   4.8088E+05 -9.7793E+03  2.7505E+04
0000211   4.8738E+05 -1.3613E+04  1.8147E+04
0000212   4.8432E+05  2.1867E+04  1.9902E+04
0000213   4.9303E+05  2.2892E+04  1.6429E+04
0000214   4.9123E+05  1.7324E+04 -1.3886E+04
0000215   4.8411E+05 -3.2046E+03 -4.7732E+04
0000216   4.7920E+05  2.3133E+04 -3.4745E+03
0000217   4.9055E+05 -2.5263E+03 -2.1347E+03
0000218   4.9571E+05 -2.9596E+04 -8.2624E+02
0000219   4.7879E+05  1.3266E+04  8.3825E+03
0000220   4.8519E+05 -1.3142E+04  1.2993E+04
0000221   4.6354E+05  2.2169E+03  7.3597E+03
0000222   4.7782E+05  7.0283E+03 -2.9597E+04
0000223   4.8025E+05  1.4137E+04  1.9632E+04
0000224   4.8637E+05  5.7822E+03  1.1447E+04
0000225   4.8767E+05 -2.7427E+03 -5.8790E+03
0000226   4.7732E+05 -1.4472E+04 -4.6408E+03
0000227   4.9236E+05 -1.0726E+04 -7.3101E+03
0000228   4.8847E+05  1.9430E+04 -5.6244E+03
0000229   4.9370E+05 -9.5015E+03  1.3140E+04
0000230   4.7229E+05  7.8297E+03  7.1894E+03
0000231   4.8012E+05 -8.4030E+03  5.1083E+03
0000232   4.9349E+05  1.4261E+04  9.8689E+03
0000233   4.8829E+05 -5.6739E+02 -2.3092E+04
0000234   4.7579E+05  7.2366E+03  1.5125E+04
0000235   4.8149E+05 -2.5825E+04 -3.1088E+03
0000236   4.8996E+05  5.7081E+03  8.1530E+02
0000237   4.8453E+05 -9.9530E+03 -1.8793E+04
0000238   4.6417E+05  9.4014E+03  1.1609E+04
0000239   4.8490E+05  1.7303E+04  2.2867E+04
0000240   4.9579E+05 -8.1819E+02  6.4517E+03
0000241   4.8288E+05  4.7513E+04  2.0518E+04
0000242   4.7817E+05 -1.1534E+02  3.2116E+04
0000243   4.8450E+05 -5.4067E+04  4.6420E+02
0000244   4.9004E+05 -1.8393E+04 -6.4030E+03
0000245   4.6717E+05  2.8753E+04  4.0284E+03
0000246   4.8642E+05 -1.0214E+04 -8.7661E+03
0000247   4.6411E+05  4.4412E+03 -2.0441E+04
0000248   4.8738E+05 -4.1301E+03 -3.9495E+04
0000249   4.8371E+05  8.4121E+03 -7.2985E+03
0000250   5.0124E+05 -1.7416E+04 -1.4363E+04
0000251   4.8066E+05  2.1918E+04  3.2466E+03
0000252   4.6445E+05  1.4655E+04 -9.5536E+03
0000253   4.8617E+05 -8.9062E+03  2.0271E+04
0000254   4.8898E+05  3.8745E+04  2.5714E+04
0000255   4.9528E+05 -3.2960E+03 -7.7225E+03
0000256   4.9608E+05 -3.7160E+02  3.0601E+04
0000257   4.7724E+05 -1.8467E+04 -1.1210E+03
0000258   4.7375E+05  8.0223E+03 -5.6545E+03
0000259   4.9316E+05  4.2122E+03  1.3058E+04
0000260   4.7234E+05  5.6619E+03  2.2116E+04
0000261   4.7417E+05 -1.0603E+04  1.1685E+04
0000262   4.8535E+05  1.5627E+03  1.9787E+04
0000263   4.8756E+05  7.7835E+03  5.1086E+03
0000264   4.8300E+05 -6.4097E+03  2.9359E+04
0000265   4.6941E+05  2.3215E+04  9.3914E+03
0000266   4.9716E+05  6.5604E+03  1.7750E+04
0000267   4.9217E+05 -1.8941E+04 -2.4545E+03
0000268   4.9588E+05 -1.4754E+04  1.2414E+04
0000269   4.8530E+05  1.8349E+04 -1.0126E+04
0000270   4.7451E+05 -6.9081E+03 -1.1493E+04
0000271   4.7405E+05  1.7737E+04 -2.6457E+04
0000272   4.8414E+05  3.3396E+04  1.6376E+04
0000273   4.8621E+05  1.7078E+02  5.0893E+04
0000274   4.7831E+05  1.4833E+04  9.3621E+03
0000275   4.0805E+05  7.9069E+04 -6.0127E+04
0000276   4.7713E+05 -1.4105E+04  1.5455E+03
0000277   4.8824E+05  1.4383E+03 -1.1901E+04
0000278   4.9378E+05 -4.8324E+03 -3.1685E+04
0000279   4.8384E+05 -2.1166E+04 -3.9360E+04
0000280   4.7720E+05 -2.4385E+04  2.5998E+03
0000281   4.7957E+05  1.5051E+04 -7.4506E+03
0000282   4.7302E+05 -8.4108E+03  2.7376E+04
0000283   4.8029E+05 -1.9451E+04  2.1657E+04
0000284   4.9723E+05 -4.0435E+03 -3.0225E+04
0000285   4.8324E+05  9.8577E+03  8.0072E+03
0000286   4.9508E+05 -2.5129E+03 -1.7347E+03
0000287   5.0003E+05 -1.8083E+04  4.1897E+03
0000288   4.7660E+05 -3.8676E+04 -3.1813E+03
0000289   4.9973E+05 -1.0510E+04 -6.2277E+01
0000290   4.7494E+05 -1.8564E+03  6.5662E+03
0000291   4.7875E+05  4.8305E+03  6.9172E+03
0000292   4.8431E+05  1.5285E+04  2.4464E+04
0000293   4.7540E+05 -1.2861E+04  5.7900E+02
0000294   4.7238E+05  8.7332E+01 -1.7971E+04
0000295   4.8325E+05 -3.0500E+04  3.3459E+03
0000296   4.7876E+05  2.3750E+04  3.4436E+04
0000297   4.9944E+05  8.3835E+03  4.4291E+03
0000298   4.6571E+05  3.5011E+03  6.5455E+03
0000299   4.8560E+05 -1.6607E+04 -9.3386E+03
0000300   4.7770E+05 -7.5721E+02 -1.2828E+04
0000301   4.8065E+05 -2.1860E+04  1.6752E+04
0000302   4.7839E+05  3.1961E+04  2.6489E+04
0000303   4.8275E+05 -1.1507E+04 -2.0822E+04
0000304   4.8497E+05 -3.0984E+04 -1.1774E+04
0000305   4.8122E+05  3.0129E+04 -2.7576E+04
0000306   4.6786E+05 -3.2093E+03  2.3580E+04
0000307   4.8025E+05  5.9384E+03 -7.2107E+03
0000308   4.7615E+05 -3.2748E+04 -2.0468E+03
0000309   4.9142E+05  6.9896E+03  3.8699E+03
0000310   4.8682E+05  1.3223E+04  1.1734E+04
0000311   4.8492E+05  7.7818E+03 -1.4850E+04
0000312   4.8428E+05 -1.2803E+04 -2.4135E+04
0000313   4.8291E+05 -2.1584E+03  1.1006E+03
0000314   4.8641E+05 -2.1196E+03 -2.8072E+03
0000315   4.8160E+05  1.0702E+04 -1.8324E+03
0000316   4.8069E+05  3.1344E+04  1.5941E+04
0000317   4.7896E+05 -3.4765E+03 -3.1754E+03
0000318   4.8535E+05  2.8818E+04  3.0773E+04
0000319   4.6809E+05  5.7069E+03  8.0512E+03
0000320   4.8755E+05  7.2258E+03  1.3713E+03
0000321   4.5772E+05 -3.6593E+04  8.3988E+04
0000322   4.7894E+05 -2.8008E+04 -2.1260E+04
0000323   4.9465E+05 -1.3392E+04  1.5867E+04
0000324   4.9141E+05 -3.1086E+03 -1.7403E+04
0000325   4.7935E+05  9.1182E+03 -1.0923E+04
0000326   4.7068E+05  6.6237E+03 -3.1351E+04
0000327   4.7840E+05  7.7622E+03  3.9798E+03
0000328   4.7990E+05 -1.1370E+04  5.4801E+03
0000329   4.8145E+05  1.2454E+04 -1.4739E+04
0000330   4.7367E+05 -1.2602E+04  4.1503E+03
0000331   4.6186E+05 -7.0928E+03  9.5542E+03
