============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  B (05)   Ion Mass= 011.0090
Energy  = 2000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000100   5.6228E+03  1.2023E+03 -2.5390E+03
0000101   6.0701E+03  2.4918E+02  5.4730E+02
0000102   2.6303E+03  3.8848E+02  1.6947E+03
0000103   2.8616E+03  2.8486E+03  1.1243E+03
0000104   6.4496E+03  1.5479E+03  9.9074E+02
0000105   6.0858E+03 -7.8022E+02  7.3901E+01
0000106   6.2288E+03  2.5628E+03 -1.4948E+03
0000107   6.0778E+03  1.2359E+03  1.0388E+01
0000108   5.2709E+03 -1.4433E+03  1.0458E+03
0000109   7.0283E+03 -5.4598E+02  1.4080E+02
0000110   7.0312E+03  4.9814E+02 -1.1467E+03
0000111   5.9759E+03 -7.1541E+02 -2.7697E+02
0000112   7.0587E+03  4.4411E+02 -2.3588E+00
0000113   6.3438E+03 -5.6602E+02 -5.0952E+02
0000114   4.9106E+03 -1.1055E+03  1.5554E+03
0000115   4.8165E+03  9.2836E+02 -1.9859E+03
0000116   6.6105E+03  5.4755E+02  1.3854E+03
0000117   5.7710E+03  6.9611E+02  1.5402E+02
0000118   5.8778E+03  4.8655E+02 -7.5450E+02
0000119   6.3293E+03  4.4808E+02 -1.4229E+03
0000120   6.1646E+03 -1.5574E+03 -6.4563E+01
0000121   3.8782E+03  8.6266E+02  2.4993E+02
0000122   5.2530E+03 -4.4402E+02 -2.6628E+03
0000123   4.6825E+03 -1.4169E+03 -8.6722E+02
0000124   6.1815E+03  8.0568E+02 -4.5215E+02
0000125   5.1416E+03  1.8111E+03 -7.2630E-01
0000126   5.8487E+03  2.2866E+03 -1.5669E+02
0000127   4.9859E+03  6.9817E+02  2.3564E+03
0000128   5.6418E+03 -4.4409E+02 -6.8110E+02
0000129   6.2104E+03  1.0725E+03 -2.2012E+01
0000130   6.2720E+03 -9.2088E+02  1.9770E+03
0000131   5.6486E+03 -5.0037E+02  2.7257E+03
0000132   6.0274E+03  1.3993E+03  5.5500E+02
0000133   6.0988E+03 -1.7946E+03  4.1515E+02
0000134   6.0199E+03  3.9575E+02 -5.0289E+02
0000135   4.7132E+03 -1.1690E+03 -9.5417E+02
0000136   4.9315E+03 -2.3259E+03 -2.8385E+03
0000137   3.3215E+03 -8.4854E+02  1.9487E+03
0000138   5.9951E+03  1.4791E+03  3.0571E+02
0000139   4.5589E+03  2.9555E+03 -2.4093E+03
0000140   5.3409E+03  1.6160E+03  5.2479E+02
0000141   5.7035E+03 -6.4673E+00 -1.0133E+03
0000142   4.1006E+03 -1.2269E+03  2.0080E+03
0000143   4.3776E+03  1.2987E+03 -1.1877E+03
0000144   4.6204E+03  7.0700E+02 -8.4958E+02
0000145   6.7854E+03 -8.1047E+02 -7.3901E+02
0000146   7.1189E+03  1.8464E+03 -1.1088E+03
0000147   5.4975E+03  2.7882E+02 -2.9644E+03
0000148   5.7757E+03 -2.2376E+03  7.8658E+02
0000149   5.7215E+03 -2.1673E+03 -6.9846E+02
0000150   4.8393E+03 -4.1465E+02 -2.5153E+03
0000151   4.8074E+03 -2.1496E+03 -7.5603E+02
0000152   6.6545E+03  3.4200E+02  1.6769E+01
0000153   4.9038E+03 -1.0508E+03 -4.2500E+03
0000154   5.5206E+03  2.6157E+03 -4.2209E+02
0000155   5.0377E+03 -3.5507E+02  2.4455E+03
0000156   6.4064E+03  1.0791E+03  5.0088E+02
0000157   6.7637E+03 -6.4050E+02  1.1076E+03
0000158   7.3011E+03  1.2745E+03  1.0384E+03
0000159   6.7151E+03  1.2324E+03  1.0581E+03
0000160   4.9044E+03  1.3367E+03  2.2662E+02
0000161   6.9225E+03  1.1773E+03  6.8448E+02
0000162   6.9821E+03 -2.6895E+03 -1.8919E+03
0000163   6.9549E+03  1.0156E+03 -5.4657E+02
0000164   6.5567E+03 -1.1961E+02 -9.5118E+02
0000165   6.3333E+03 -2.7958E+03 -1.6524E+02
0000166   4.3833E+03  1.8477E+03 -1.7639E+03
0000167   6.5583E+03  8.2983E+02  1.7008E+03
0000168   4.0207E+03  7.5106E+02  3.9173E+02
0000169   5.3247E+03  1.3639E+02 -1.3703E+03
0000170   5.6878E+03 -1.5354E+03  5.3762E+02
0000171   6.3701E+03  2.9013E+01  2.0158E+03
0000172   6.1256E+03 -1.2919E+03 -1.7340E+03
0000173   6.5707E+03  3.3905E+02 -1.3023E+03
0000174   3.4124E+03  1.2007E+03  1.0928E+03
0000175   3.9454E+03 -1.6803E+03  5.5111E+02
0000176   5.2457E+03 -1.5666E+02 -7.5700E+01
0000177   5.1540E+03 -1.4163E+03  3.9253E+03
0000178   5.5765E+03  3.9362E+02 -5.0737E+02
0000179   6.2615E+03 -5.9155E+02 -1.2836E+02
0000180   6.3607E+03 -3.7618E+02 -2.0108E+03
0000181   7.1374E+03  1.2052E+03 -5.4168E+02
0000182   5.7393E+03 -2.3361E+02  1.1277E+03
0000183   7.1593E+03 -1.4469E+03 -3.0139E+02
0000184   4.3033E+03  2.0422E+03 -1.2137E+03
0000185   5.4960E+03  1.0717E+03 -1.3276E+03
0000186   5.1639E+03 -1.1738E+03 -1.2183E+03
0000187   4.6301E+03 -1.6451E+03 -1.1222E+03
0000188   4.2393E+03 -2.2375E+03  2.5470E+03
0000189   6.9559E+03  5.9252E+02 -1.5064E+03
0000190   6.3509E+03  1.0178E+03 -1.8310E+03
0000191   5.1115E+03  2.8064E+03 -6.4519E+02
0000192   5.8523E+03  1.3487E+03  2.3997E+03
0000193   6.2222E+03 -4.1383E+01  1.3433E+03
0000194   7.3484E+03 -7.0988E+02  7.9476E+02
0000195   5.2204E+03 -7.1246E+02 -1.4899E+03
0000196   5.9766E+03 -8.6269E+02 -9.9235E+02
0000197   4.6479E+03  4.0044E+02 -1.5454E+03
0000198   5.7445E+03 -1.3901E+03  9.9186E+02
0000199   5.9215E+03  5.9890E+02 -7.6930E+02
0000200   4.8108E+03 -9.3048E+02  1.0551E+03
0000201   5.6390E+03  1.7470E+03  1.8422E+03
0000202   6.7755E+03  7.4440E+02 -1.6499E+02
0000203   6.3155E+03 -2.6764E+02  1.0401E+03
0000204   6.2352E+03 -2.0807E+03 -4.2244E+02
0000205   6.8461E+03  8.1633E+02 -3.1810E+02
0000206   5.3766E+03 -1.1872E+03 -2.0302E+03
0000207   6.4992E+03 -8.7329E+02  9.0552E+02
0000208   4.4080E+03 -4.0804E+02 -1.3945E+03
0000209   4.5955E+03 -8.9761E+02 -1.4642E+03
0000210   6.5228E+03  1.5694E+02 -6.8869E+02
0000211   6.6170E+03  3.5029E+02  1.2889E+03
0000212   2.7206E+03 -9.9615E+02 -8.3966E+02
0000213   4.0002E+03 -2.4406E+03  7.0794E+02
0000214   6.2724E+03 -3.4003E+02 -2.7112E+03
0000215   6.2231E+03 -9.9850E+02  3.0197E+03
0000216   6.1114E+03 -1.5048E+03 -2.5463E+02
0000217   5.9288E+03 -7.8144E+02 -1.3686E+03
0000218   6.7926E+03 -1.6744E+03 -7.7387E+02
0000219   6.0692E+03 -2.1033E+03  7.6905E+02
0000220   4.4342E+03 -2.2741E+03 -1.0862E+03
0000221   6.4477E+03 -9.4711E+02 -1.9646E+03
0000222   4.0436E+03 -1.9528E+03  1.7387E+03
0000223   7.1218E+03 -5.9078E+01  4.4405E+02
0000224   5.0145E+03  1.5661E+03 -2.6804E+02
0000225   4.5832E+03 -1.2315E+03 -6.0290E+02
0000226   6.4038E+03 -4.3886E+02  1.1220E+02
0000227   6.5239E+03 -5.3670E+02 -7.3265E+02
0000228   4.3653E+03 -9.5773E+02 -1.3484E+03
0000229   2.1094E+02  1.1080E+02 -2.3270E+02
0000230   5.4708E+03  7.2570E+02 -5.2938E+02
0000231   6.2565E+03 -3.8044E+02 -3.9648E+02
0000232   6.7210E+03 -2.5638E+02 -9.8043E+02
0000233   6.1049E+03  9.2410E+02  3.9008E+02
0000234   5.0933E+03 -5.7336E+02 -8.0519E+02
0000235   3.7994E+03  1.2476E+03 -2.5730E+03
0000236   6.1357E+03 -1.1902E+03  3.7863E+02
0000237   7.0882E+03 -8.2303E+02 -6.2149E+02
0000238   7.2852E+03 -1.0669E+03  5.8703E+02
0000239   5.1590E+03  7.4051E+01 -1.2986E+03
0000240   7.0218E+03  8.2081E+01  1.7490E+03
0000241   6.4376E+03 -1.1786E+03 -2.3385E+03
0000242   5.8631E+03 -8.9203E+02 -1.6038E+03
0000243   5.4098E+03 -1.0676E+02  1.4648E+03
0000244   4.9164E+03 -1.0009E+03 -9.5381E+02
0000245   4.8393E+03 -2.7840E+03  3.3189E+02
0000246   6.0908E+03  1.2993E+03  7.4465E+02
0000247   6.0257E+03 -6.5340E+02  1.8369E+03
0000248   5.3657E+03 -5.7590E+02 -1.0434E+03
0000249   7.1658E+03 -1.1206E+02  9.4928E+02
0000250   5.5927E+03 -2.7090E+02 -9.5203E+02
0000251   6.3942E+03 -4.3100E+02 -2.9618E+02
0000252   6.0981E+03 -1.7400E+03  2.1034E+03
0000253   4.6904E+03 -1.8386E+03 -2.3659E+02
0000254   6.5895E+03  6.8481E+02 -6.7508E+02
0000255   4.6584E+03  1.7948E+03 -1.3014E+03
0000256   6.3799E+03  1.1683E+03  8.2914E+02
0000257   6.2439E+03  2.8385E+02  5.1811E+02
0000258   6.7570E+03 -4.0932E+02  1.1073E+03
0000259   6.1927E+03  1.0856E+03  1.4367E+03
0000260   6.6813E+03 -8.2280E+02 -3.1128E+02
0000261   3.0062E+03  2.0212E+03  8.9126E+02
0000262   5.5909E+03  1.2024E+03 -1.0246E+03
0000263   6.1103E+03  2.5838E+02  1.0496E+03
0000264   6.4751E+03 -1.6919E+02 -9.3191E+01
0000265   5.2241E+03 -1.7997E+03 -1.2486E+03
0000266   4.4981E+03  1.2614E+03  2.9984E+03
0000267   5.8730E+03  6.6724E+02  1.4636E+03
0000268   7.2414E+03  1.7131E+03 -6.6708E+02
0000269   5.8139E+03  1.6419E+03 -1.7933E+02
0000270   6.2672E+03  7.9857E+02 -1.7581E+03
0000271   5.5976E+03  1.8260E+03  2.0411E+03
0000272   5.4869E+03  6.3536E+02  1.0116E+03
0000273   4.4787E+03  8.1052E+02  2.3081E+03
0000274   6.1998E+03  2.5375E+03  3.1226E+02
0000275   6.2485E+03 -2.7573E+02  9.7537E+02
0000276   7.3791E+03 -4.3522E+02 -7.1293E+02
0000277   6.7978E+03  4.7778E+01  6.6312E+02
0000278   5.8058E+03  1.3062E+01 -2.7518E+02
0000279   4.2040E+03  9.9125E+01 -1.8809E+03
0000280   6.0860E+03 -3.4155E+02 -1.9497E+03
0000281   7.4417E+03 -8.9841E+01  1.5994E+03
0000282   5.9876E+03 -1.3535E+03  2.6044E+02
0000283   4.7970E+03 -4.1706E+03 -3.2631E+02
0000284   5.5966E+03  1.6271E+03 -1.6703E+03
0000285   5.9988E+03 -1.2915E+03 -3.6023E+02
0000286   4.2797E+03 -4.0112E+03  2.7907E+02
0000287   5.2526E+03  2.1911E+03 -1.3863E+03
0000288   6.1819E+03  1.3863E+03 -1.6923E+03
0000289   4.8354E+03 -1.1395E+03 -1.4360E+03
0000290   6.4371E+03 -1.7290E+02  1.4535E+03
0000291   5.4488E+03 -4.2887E+02  2.6936E+02
0000292   7.5278E+03 -3.9167E+02 -1.0049E+03
0000293   6.5992E+03  7.7669E+02 -5.5074E+01
0000294   6.2847E+03 -5.6334E+02  3.5423E+01
0000295   5.1140E+03  2.5053E+03 -1.5826E+03
0000296   5.5234E+03  1.9546E+03  2.9160E+03
0000297   5.7547E+03 -8.4203E+02  9.0444E+02
0000298   6.7959E+03 -2.9593E+03 -3.4913E+02
0000299   6.4149E+03 -6.9492E+02 -1.9063E+03
0000300   3.5085E+03 -2.9742E+02 -3.9193E+03
0000301   6.5772E+03  7.7067E+02 -2.6278E+02
0000302   5.5949E+03  8.5807E+02  4.8559E+02
0000303   6.5359E+03  1.0491E+03 -1.5847E+02
0000304   5.6290E+03  3.2653E+02 -1.0884E+03
0000305   6.0677E+03  1.2888E+03  1.7752E+03
0000306   6.0358E+03 -2.0386E+03 -1.2462E+02
0000307   5.8108E+03 -5.9976E+02 -4.3728E+02
0000308   6.7691E+03 -2.3400E+02 -1.1096E+03
0000309   6.6656E+03  2.1309E+02  1.6647E+02
0000310   4.7044E+03 -3.4717E+03 -5.3630E+02
0000311   5.2613E+03  2.8816E+03  1.1995E+03
0000312   6.2629E+03 -4.3991E+02 -6.7543E+02
0000313   3.9957E+03 -4.2585E+02  1.6691E+03
0000314   4.5374E+03 -5.7595E+02  2.4582E+02
0000315   5.9305E+03 -1.5008E+03  6.7293E+02
0000316   6.4226E+03 -1.8908E+03  5.8768E+02
0000317   6.2968E+03 -3.0491E+03 -1.9045E+03
0000318   6.2191E+03  5.5289E+02  9.9375E+02
0000319   4.7753E+03  1.8283E+02  2.8416E+01
0000320   4.3647E+03  1.1244E+02 -2.8298E+03
0000321   5.4562E+03  2.0672E+02 -2.6507E+02
0000322   5.4719E+03  1.7835E+03  1.5875E+03
0000323   4.7979E+03 -5.1557E+02 -4.3824E+01
0000324   7.0393E+03  3.6055E+02 -1.2122E+03
0000325   6.5040E+03  4.2855E+02  4.4046E+02
0000326   5.9425E+03  7.0961E+02 -4.9112E+02
0000327   6.3225E+03 -4.5189E+02  2.0347E+03
0000328   6.2269E+03  2.2365E+01 -2.6731E+03
0000329   5.8827E+03 -1.7575E+03 -3.3976E+02
0000330   7.6836E+03  1.6274E+03 -2.4481E+02
0000331   5.8736E+03  5.3711E+02 -8.7538E+02
0000332   5.9249E+03  8.5125E+02 -3.8992E+02
0000333   5.7156E+03 -7.0493E+02 -8.0322E+02
0000334   5.9513E+03 -1.3115E+03  1.1189E+03
0000335   5.9451E+03 -1.9267E+03  1.9941E+03
0000336   5.4741E+03  1.4712E+03  1.5151E+03
0000337   5.5041E+03  1.7682E+03 -2.0081E+02
0000338   6.7565E+03  1.4513E+03  7.8791E+02
0000339   6.4875E+03 -1.1721E+03  4.6247E+02
0000340   6.8230E+03  9.7391E+02 -1.9439E+03
0000341   4.9413E+03 -2.9498E+02 -2.3300E+03
0000342   5.3540E+03 -1.6159E+03  5.8225E+02
0000343   4.7702E+03 -1.0414E+03  4.1353E+02
