============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000100   8.4368E+03 -1.4251E+01  9.1774E+02
0000101   7.6404E+03 -7.7322E+02 -1.9689E+03
0000102   7.5433E+03  3.6023E+02  4.3518E+02
0000103   6.2655E+03 -1.9931E+03 -2.6343E+03
0000104   9.8658E+03  5.5137E+02 -1.5256E+03
0000105   7.9090E+03  5.0692E+02 -7.7332E+02
0000106   8.6057E+03 -1.4078E+03 -1.3546E+02
0000107   6.7891E+03  1.4133E+03  1.0989E+03
0000108   7.9999E+03 -4.1720E+02  3.4622E+02
0000109   8.0873E+03 -7.6054E+02  1.1561E+03
0000110   8.0069E+03  2.3468E+01  3.2904E+03
0000111   6.5071E+03  1.1596E+03 -3.0220E+02
0000112   5.0426E+03  6.5741E+02 -7.6819E+02
0000113   6.4549E+03 -2.3135E+03  1.1953E+03
0000114   8.3316E+03 -1.2333E+02  9.1958E+01
0000115   4.7628E+03 -3.2465E+03  1.7899E+03
0000116   7.7095E+03 -1.3832E+03 -3.3404E+02
0000117   7.8769E+03 -2.0738E+01 -1.6063E+03
0000118   7.8384E+03 -1.1717E+03 -1.0567E+03
0000119   7.3826E+03 -9.4964E+02  5.9145E+02
0000120   7.3427E+03  1.1241E+02 -5.9102E+02
0000121   6.7052E+03 -1.3336E+03  9.7717E+02
0000122   5.2338E+03 -1.6269E+02  1.2404E+03
0000123   7.1642E+03  3.5232E+02 -1.0805E+03
0000124   7.3834E+03 -2.0321E+03 -7.7330E+02
0000125   8.0376E+03 -1.3083E+03 -7.0350E+02
0000126   7.6007E+03 -1.9370E+03  7.0972E+02
0000127   8.6141E+03 -8.3415E+02 -2.1801E+03
0000128   9.0320E+03  9.7714E+01 -5.5644E+02
0000129   7.5550E+03  6.1751E+02 -8.4807E+02
0000130   7.3304E+03 -1.9614E+03  7.0596E+02
0000131   6.5244E+03  2.0961E+03  1.3658E+03
0000132   7.4515E+03 -2.2650E+03 -1.6700E+03
0000133   5.9777E+03 -6.6911E+03 -2.2383E+03
0000134   8.1836E+03  1.8277E+03 -6.0162E+02
0000135   7.4411E+03  6.6887E+01  1.3111E+03
0000136   7.9918E+03 -6.9916E+02  8.9783E+02
0000137   3.9433E+03 -4.4780E+03  7.2106E+02
0000138   8.3896E+03  1.2901E+03 -3.2811E+02
0000139   6.5707E+03 -7.3689E+02  4.1195E+03
0000140   7.9383E+03 -3.1834E+03  4.1711E+02
0000141   7.3881E+03  1.7712E+03 -8.1897E+01
0000142   7.7679E+03  9.3948E+02  9.8710E+01
0000143   7.5068E+03 -8.1220E+02  2.3777E+03
0000144   6.8461E+03 -1.0394E+03 -2.6745E+03
0000145   2.4015E+03  4.0059E+03  7.6438E+02
0000146   7.9695E+03 -4.2857E+01 -1.7687E+03
0000147   5.8706E+03 -2.8883E+02  2.4391E+01
0000148   7.5147E+03  2.8077E+03 -1.1319E+03
0000149   8.2917E+03  3.4685E+03  6.9060E+02
0000150   6.8618E+03 -6.9809E+01 -8.0960E+02
0000151   7.4548E+03 -3.1499E+03  3.5266E+02
0000152   3.3222E+03 -5.1189E+03  1.2431E+03
0000153   7.5495E+03  1.5415E+02 -2.9799E+03
0000154   6.5123E+03 -2.2868E+03 -2.4305E+03
0000155   8.7708E+03 -1.2285E+03 -2.9699E+02
0000156   5.4350E+03 -3.2534E+03 -1.8931E+03
0000157   8.9468E+03 -1.1370E+02 -1.5943E+03
0000158   9.1265E+03  1.0999E+03  1.4069E+03
0000159   8.3334E+03  1.5357E+03  1.6587E+03
0000160   8.1672E+03 -9.6460E+02  2.2794E+03
0000161   7.2284E+03  2.0202E+03 -1.1462E+03
0000162   8.0037E+03  1.0343E+02  2.1167E+03
0000163   7.3278E+03 -2.7503E+03 -8.2638E+02
0000164   7.5198E+03 -3.8643E+02  3.1795E+03
0000165   7.4022E+03 -2.1189E+03 -9.6762E+02
0000166   7.5023E+03  8.3085E+02  1.3907E+03
0000167   8.5626E+03  9.3190E+02 -2.6157E+02
0000168   8.1145E+03  1.5448E+03 -2.8866E+02
0000169   8.6811E+03  9.4401E+02 -4.7347E+02
0000170   5.9584E+03 -4.1279E+01 -1.0140E+03
0000171   8.1438E+03  1.6336E+03  2.8507E+02
0000172   7.8775E+03 -9.1660E+02  2.8767E+02
0000173   5.3811E+03 -2.3002E+03  1.3723E+03
0000174   8.6209E+03 -5.1195E+02  1.2160E+03
0000175   8.1701E+03 -1.0639E+03 -2.7836E+03
0000176   7.9626E+03  1.1282E+03  1.3773E+02
0000177   8.2411E+03 -1.7210E+03 -1.0916E+03
0000178   8.2809E+03 -2.7055E+03  2.2833E+03
0000179   7.6868E+03  1.2545E+03  9.8235E+02
0000180   8.1665E+03 -3.4114E+03  1.7407E+03
0000181   7.1026E+03 -3.0029E+03  9.1456E+01
0000182   7.4012E+03 -1.9452E+03  2.5308E+02
0000183   8.7477E+03  1.5084E+03 -1.8729E+03
0000184   9.9684E+03 -1.4994E+02 -2.7318E+02
0000185   7.2971E+03  2.3794E+03 -4.3344E+02
0000186   8.6774E+03  9.0738E+02 -6.7273E+01
0000187   2.2657E+02  5.7442E+03 -5.4262E+03
0000188   8.1211E+03  1.2100E+02  1.4766E+02
0000189   4.9680E+03 -5.5396E+03 -1.7217E+03
0000190   7.6543E+03  2.1934E+01 -1.9168E+03
0000191   8.2242E+03 -8.2837E+02 -4.3663E+02
0000192   7.6574E+03 -2.8026E+03 -3.6498E+02
0000193   5.7074E+03  3.0515E+02 -1.2509E+03
0000194   4.9565E+03  4.5700E+03  1.1890E+03
0000195   8.4145E+03 -2.4948E+03  3.1700E+03
0000196   8.3957E+03 -8.6176E+01 -5.6049E+02
0000197   8.4263E+03 -1.2150E+03 -2.4159E+02
0000198   4.8835E+03  2.8232E+03  2.7761E+03
0000199   7.6105E+03 -1.7788E+03 -1.6454E+03
0000200   8.0684E+03 -4.6583E+02  4.4945E+02
0000201   9.9178E+03 -1.2454E+03 -2.5691E+02
0000202   9.4838E+03  5.1141E+02 -1.9430E+02
0000203   7.3494E+03 -3.3703E+02 -1.6476E+03
0000204   7.0998E+03 -9.7188E+02  1.3326E+02
0000205   7.8614E+03  2.4044E+03 -5.3165E+02
0000206   7.3196E+03 -2.4541E+03 -1.0535E+03
0000207   6.1486E+03  3.1338E+01 -1.3083E+03
0000208   7.6873E+03 -1.3514E+03 -4.9185E+02
0000209   8.3354E+03  6.2313E+02 -6.2958E+02
0000210   6.4545E+03 -1.2258E+03  2.6609E+03
0000211   9.1919E+03  1.4720E+03  1.3386E+02
0000212   7.3273E+03  3.0203E+03  1.8503E+03
0000213   6.4584E+03  5.3202E+02 -4.1844E+03
0000214   6.4937E+03  3.6389E+03  2.1162E+03
0000215   7.1777E+03 -1.6665E+03  1.9581E+03
0000216   6.4704E+03 -3.2491E+03  2.3279E+03
0000217   5.0988E+03  4.4782E+02 -2.3764E+03
0000218   6.7178E+03  2.2429E+03 -3.3194E+03
0000219   4.1007E+03  1.7422E+03  1.5002E+03
0000220   6.8452E+03 -8.2197E+02 -1.0806E+03
0000221   9.1355E+03  4.1931E+02  5.1407E+02
0000222   7.5600E+03 -2.3187E+03 -7.5976E+02
0000223   7.2659E+03  1.3756E+03 -1.7514E+03
0000224   8.1228E+03  1.7265E+03 -1.2464E+03
0000225   8.6644E+03 -7.5856E+02 -5.3012E+02
0000226   9.5594E+03  5.8759E+02 -1.1772E+03
0000227   7.8236E+03  1.2655E+03 -2.1973E+03
0000228   7.7833E+03 -3.0099E+02 -1.4744E+03
0000229   7.4557E+03 -2.0369E+03  3.5032E+01
0000230   8.5305E+03 -2.0345E+03  1.0324E+03
0000231   8.1244E+03  2.4609E+03  2.3045E+02
0000232   7.1051E+03  1.5638E+03 -1.0178E+03
0000233   8.7201E+03 -3.5457E+01  1.3533E+02
0000234   6.5504E+03  7.2207E+02 -2.3925E+02
0000235   9.0471E+03  6.3081E+02  8.3267E+02
0000236   7.0403E+03  4.5137E+02  2.8224E+03
0000237   9.1809E+03 -6.5636E+02  2.1433E+03
0000238   8.0870E+03 -1.5596E+02 -1.4488E+03
0000239   8.3344E+03  1.9642E+03 -6.9382E+02
0000240   8.0788E+03 -1.2685E+03  1.2074E+02
0000241   8.2148E+03 -1.6270E+03  3.4103E+03
0000242   8.0190E+03 -1.1327E+03  1.3403E+03
0000243   5.7610E+03 -5.2088E+02  4.3928E+03
0000244   8.4697E+03  8.7073E+02 -1.8911E+03
0000245   8.5657E+03  4.3336E+01 -2.6687E+03
0000246   8.1698E+03  2.6719E+03  4.0041E+02
