Sample,current,Ip,Hall,voltage,UH,Sample.1,temperature,Tp,Flux,density,B
Ip/mA,UH/mV,Tp/°C,B/mT,,,,,,,,
-30,-32.953,24.795,250.600,,,,,,,,
-25,-27.278,24.939,247.254,,,,,,,,
-20,-22.307,24.922,246.901,,,,,,,,
-15,-16.062,24.913,253.417,,,,,,,,
-10,-11.111,24.770,247.254,,,,,,,,
-5,-5.541,24.685,246.901,,,,,,,,
0,0.507,24.744,247.254,,,,,,,,
5,5.758,24.660,253.770,,,,,,,,
10,12.178,24.550,247.430,,,,,,,,
15,16.984,24.575,247.078,,,,,,,,
20,22.399,24.542,250.424,,,,,,,,
25,27.996,24.677,246.901,,,,,,,,
29,33.424,24.973,247.430,,,,,,,,
