====== 35 MeV H into skin/skull/brain/tumour =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 35000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Skin_Human (W&W type 1)
Layer Width =     1.E+07 AAA ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
Layer  2 : Cortical Bone  Adult (W&W)
Layer Width =     4.E+07 AAA ;
  Layer # 2- Density = 9.946E22 atoms/cm3 = 1.92 g/cm3
  Layer # 2- Ca = 6.53 Atomic Percent = 22.5 Mass Percent
  Layer # 2-  P = 3.86 Atomic Percent = 10.3 Mass Percent
  Layer # 2-  H = 39.2 Atomic Percent = 3.40 Mass Percent
  Layer # 2-  C = 15.0 Atomic Percent = 15.5 Mass Percent
  Layer # 2-  N = 3.48 Atomic Percent = 4.20 Mass Percent
  Layer # 2-  O = 31.6 Atomic Percent = 43.5 Mass Percent
  Layer # 2-  S = .108 Atomic Percent = .300 Mass Percent
  Layer # 2- Mg = 9.57 Atomic Percent = .200 Mass Percent
Layer  3 : Brain (ICRP)
Layer Width =     3.E+07 AAA ;
  Layer # 3- Density = 10.41E22 atoms/cm3 = 1.03 g/cm3
  Layer # 3-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 3-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 3-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 3-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 3-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 3-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 3- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 3- Na = 4.65 Atomic Percent = .179 Mass Percent
Layer  4 : Brain Tumour (ICRP brain comp.)
Layer Width =     2.E+07 AAA ;
  Layer # 4- Density = 10.62E22 atoms/cm3 = 1.05 g/cm3
  Layer # 4-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 4-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 4-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 4-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 4-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 4-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 4- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 4- Na = 4.65 Atomic Percent = .179 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100000.E+01  122870.E-10  158371.E-10
200000.E+01  121848.E-10  273918.E-10
300000.E+01  123399.E-10  223296.E-10
400000.E+01  123446.E-10  181482.E-10
500000.E+01  123516.E-10  203425.E-10
600000.E+01  125245.E-10  207132.E-10
700000.E+01  124284.E-10  168832.E-10
800000.E+01  127431.E-10  203792.E-10
900000.E+01  126836.E-10  244348.E-10
100000.E+02  134090.E-10  205081.E-10
110000.E+02  180322.E-10  329988.E-10
120000.E+02  181084.E-10  417288.E-10
130000.E+02  183497.E-10  343873.E-10
140000.E+02  184459.E-10  336482.E-10
150000.E+02  186836.E-10  366815.E-10
160000.E+02  186402.E-10  450276.E-10
170000.E+02  187582.E-10  444287.E-10
180000.E+02  189781.E-10  390060.E-10
190000.E+02  192933.E-10  399212.E-10
200000.E+02  195314.E-10  394460.E-10
210000.E+02  197738.E-10  391723.E-10
220000.E+02  201801.E-10  478978.E-10
230000.E+02  200028.E-10  429048.E-10
240000.E+02  205001.E-10  400943.E-10
250000.E+02  205078.E-10  417259.E-10
260000.E+02  209150.E-10  470812.E-10
270000.E+02  211741.E-10  362819.E-10
280000.E+02  213589.E-10  373631.E-10
290000.E+02  215927.E-10  434677.E-10
300000.E+02  220596.E-10  402633.E-10
310000.E+02  222538.E-10  548413.E-10
320000.E+02  225652.E-10  536755.E-10
330000.E+02  227583.E-10  442700.E-10
340000.E+02  232243.E-10  451376.E-10
350000.E+02  235261.E-10  446326.E-10
360000.E+02  237594.E-10  506678.E-10
370000.E+02  241178.E-10  478211.E-10
380000.E+02  244425.E-10  610427.E-10
390000.E+02  248357.E-10  564390.E-10
400000.E+02  251259.E-10  669012.E-10
410000.E+02  258709.E-10  498252.E-10
420000.E+02  262563.E-10  631361.E-10
430000.E+02  264906.E-10  439153.E-10
440000.E+02  273356.E-10  473611.E-10
450000.E+02  275433.E-10  555668.E-10
460000.E+02  278939.E-10  638369.E-10
470000.E+02  286239.E-10  608920.E-10
480000.E+02  292423.E-10  675984.E-10
490000.E+02  300601.E-10  570793.E-10
500000.E+02  315024.E-10  741946.E-10
510000.E+02  182386.E-10  285567.E-10
520000.E+02  183557.E-10  362536.E-10
530000.E+02  187157.E-10  428332.E-10
540000.E+02  189840.E-10  333587.E-10
550000.E+02  191944.E-10  406518.E-10
560000.E+02  196486.E-10  355556.E-10
570000.E+02  200507.E-10  344432.E-10
580000.E+02  204504.E-10  468674.E-10
590000.E+02  206932.E-10  414005.E-10
600000.E+02  211920.E-10  398906.E-10
610000.E+02  217067.E-10  414120.E-10
620000.E+02  220344.E-10  390436.E-10
630000.E+02  225929.E-10  403479.E-10
640000.E+02  231372.E-10  420526.E-10
650000.E+02  238608.E-10  458237.E-10
660000.E+02  242785.E-10  458079.E-10
670000.E+02  250667.E-10  464499.E-10
680000.E+02  259287.E-10  456919.E-10
690000.E+02  265706.E-10  549593.E-10
700000.E+02  272171.E-10  573230.E-10
710000.E+02  282425.E-10  553872.E-10
720000.E+02  293746.E-10  549281.E-10
730000.E+02  304119.E-10  558439.E-10
740000.E+02  317923.E-10  689477.E-10
750000.E+02  331905.E-10  589084.E-10
760000.E+02  350778.E-10  719425.E-10
770000.E+02  366442.E-10  759886.E-10
780000.E+02  392642.E-10  828937.E-10
790000.E+02  420528.E-10  795654.E-10
800000.E+02  464886.E-10  102620.E-09
810000.E+02  510448.E-10  997548.E-10
820000.E+02  579525.E-10  117992.E-09
830000.E+02  715404.E-10  142479.E-09
840000.E+02  993780.E-10  216071.E-09
850000.E+02  138590.E-09  306522.E-09
860000.E+02  167281.E-09  352310.E-09
870000.E+02  144985.E-09  312207.E-09
880000.E+02  839937.E-10  185369.E-09
890000.E+02  312653.E-10  642938.E-10
900000.E+02  717775.E-11  154371.E-10
910000.E+02  940587.E-12  231977.E-11
920000.E+02  252115.E-13  101551.E-12
930000.E+02  000000.E+00  000000.E+00
940000.E+02  000000.E+00  000000.E+00
950000.E+02  000000.E+00  000000.E+00
960000.E+02  000000.E+00  000000.E+00
970000.E+02  000000.E+00  000000.E+00
980000.E+02  000000.E+00  000000.E+00
990000.E+02  000000.E+00  000000.E+00
100000.E+03  000000.E+00  000000.E+00
