============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1000000.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=160000.E-01 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000100   5.7189E+03 -5.1500E+02 -3.3151E+03
0000101   9.4298E+03  5.9043E+02 -6.6168E+02
0000102   9.3744E+03  3.4740E+02  2.5434E+02
0000103   7.8010E+03  2.6012E+02  3.9654E+02
0000104   3.2744E+03  1.1602E+03 -2.9899E+03
0000105   7.1049E+03  4.8864E+03 -1.4456E+03
0000106   6.5850E+03  1.1977E+03 -2.6496E+03
0000107   7.5203E+03  9.1348E+02 -2.9073E+02
0000108   5.3249E+03  5.7804E+03  1.5706E+03
0000109   7.4036E+03 -2.7089E+03 -2.8641E+03
0000110   6.2116E+03 -3.2666E+03 -4.3798E+03
0000111   8.7529E+03  1.6469E+03  3.3032E+02
0000112   8.7039E+03 -1.9759E+03 -9.4754E+02
0000113   7.5285E+03 -5.0300E+01  8.0015E+02
0000114   8.5392E+03  2.1864E+03  6.8094E+02
0000115   1.0448E+04  2.4292E+02 -3.5942E+02
0000116   6.3440E+03 -2.5191E+03 -2.5628E+03
0000117   6.1413E+03 -2.2917E+03 -3.4836E+03
0000118   9.1301E+03  2.2167E+03 -1.5535E+03
0000119   9.7364E+03  8.5207E+02  2.7902E+03
0000120   9.5806E+03  1.8195E+03  3.5352E+03
0000121   1.0100E+04 -9.6911E+02 -4.5025E+02
0000122   9.4642E+03  7.5399E+02 -5.3653E+02
0000123   6.5264E+03  5.8715E+02 -2.5206E+03
0000124   8.0253E+03  4.5162E+03 -1.9580E+03
0000125   1.6239E+03 -2.7827E+03  3.3138E+02
0000126   8.2135E+03 -1.9474E+03 -5.7988E+02
0000127   6.5820E+03 -5.8948E+03  3.3409E+03
0000128   3.1083E+03 -1.6814E+03 -4.3459E+02
0000129   6.9955E+03  2.6441E+03  1.7626E+02
0000130   7.9625E+03 -5.0056E+03 -4.5002E+03
0000131   6.9645E+03  4.4948E+01  1.5327E+03
0000132   6.7743E+03 -4.1864E+03  7.9818E+02
0000133   7.5614E+03  1.1334E+03 -5.4029E+02
0000134   8.6003E+03  1.4508E+03  2.9854E+03
0000135   5.3231E+03 -4.7446E+02  3.6055E+03
0000136   6.2501E+03  3.2931E+03 -3.5692E+03
0000137   7.4802E+03 -1.8553E+02 -1.6573E+03
0000138   5.1829E+03 -5.2554E+02 -4.6062E+03
0000139   6.7925E+03  1.0412E+03  1.9569E+03
0000140   6.3636E+03 -2.7713E+03 -2.6051E+03
0000141   1.1641E+04  1.2659E+03  9.2345E+02
0000142   7.1275E+03  2.5604E+03 -1.9503E+03
0000143   4.4861E+03 -2.1008E+03 -5.0311E+03
0000144   5.1076E+03  3.9942E+03  3.2867E+03
0000145   9.0896E+03  3.9886E+03 -1.1714E+03
0000146   7.5750E+03  1.3115E+02  1.1801E+03
0000147   1.1124E+04  1.0722E+03  2.1822E+03
0000148   3.6078E+03  8.3955E+02 -3.6401E+02
0000149   7.5895E+03 -8.4080E+01 -1.5588E+03
0000150   6.9748E+03  2.3190E+03 -1.5850E+03
0000151   5.9429E+03 -9.2850E+02 -2.7924E+02
0000152   7.2322E+03  3.4195E+02  1.9261E+03
0000153   8.9051E+03 -1.9780E+03 -2.7890E+03
0000154   8.7487E+03 -7.8743E+02 -3.8819E+02
0000155   7.5346E+03 -1.7832E+03 -1.8025E+03
0000156   9.6857E+03  1.0580E+03  7.9653E+02
0000157   3.4844E+03 -4.3743E+02 -2.7109E+03
0000158   9.5012E+03 -1.2370E+03  3.3936E+03
0000159   1.0167E+04  2.5470E+03 -1.6561E+03
