====== 1MeV Ar into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(1 MeV) ==> GaAs(  1.6 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 1000 keV
 Total Ions calculated =8000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 16000.E+00 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 704617.E-02 A   Straggling = 194967.E-02 A
 Ion Lateral Range = 177134.E-02 A   Straggling = 219703.E-02 A
 Ion Radial  Range = 276551.E-02 A   Straggling = 139474.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
9280010.E-03 14706326.E-04 18752502.E-04 23004462.E-04 12199736.E-04 
9440010.E-03 14217790.E-04 17472409.E-04 22651788.E-04 11461424.E-04 
9600010.E-03 13181142.E-04 16560781.E-04 21304293.E-04 10097035.E-04 
9760010.E-03 12354109.E-04 15471754.E-04 20827472.E-04 10857544.E-04 
9920010.E-03 12797271.E-04 15811872.E-04 20472342.E-04 10807216.E-04 
1008001.E-02 14081059.E-04 17290266.E-04 21976738.E-04 10812342.E-04 
1024001.E-02 14579075.E-04 17408077.E-04 21055618.E-04 97851599.E-05 
1040001.E-02 12692639.E-04 15357933.E-04 18041874.E-04 84128564.E-05 
1056001.E-02 12177797.E-04 14264267.E-04 20010601.E-04 95748338.E-05 
1072001.E-02 13411141.E-04 15041354.E-04 18336936.E-04 80524778.E-05 
1088001.E-02 12112426.E-04 15731160.E-04 18154759.E-04 96569871.E-05 
1104001.E-02 10916502.E-04 14508153.E-04 20296912.E-04 11043311.E-04 
1120001.E-02 11327304.E-04 12039060.E-04 17522152.E-04 52379554.E-05 
1136001.E-02 13626664.E-04 14652576.E-04 16137597.E-04 76758726.E-05 
1152001.E-02 43942416.E-05 61569669.E-05 63702513.E-05 24077230.E-05 
1168001.E-02 86437823.E-05 93204866.E-05 10820894.E-04 41930104.E-05 
1184001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1200001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1216001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1232001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1248001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1264001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1280001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1296001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1312001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1328001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1344001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1360001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1376001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1392001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1408001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1424001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1440001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1456001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1472001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1488001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1504001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1520001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1536001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1552001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1568001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1584001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1600001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
