====== 35.65 MeV H into skin/skull/brain/tumour =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 35650 keV
============= TARGET MATERIAL ======================================
Layer  1 : Skin_Human (W&W type 1)
Layer Width =     1.E+07 AAA ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
Layer  2 : Cortical Bone  Adult (W&W)
Layer Width =     4.E+07 AAA ;
  Layer # 2- Density = 9.946E22 atoms/cm3 = 1.92 g/cm3
  Layer # 2- Ca = 6.53 Atomic Percent = 22.5 Mass Percent
  Layer # 2-  P = 3.86 Atomic Percent = 10.3 Mass Percent
  Layer # 2-  H = 39.2 Atomic Percent = 3.40 Mass Percent
  Layer # 2-  C = 15.0 Atomic Percent = 15.5 Mass Percent
  Layer # 2-  N = 3.48 Atomic Percent = 4.20 Mass Percent
  Layer # 2-  O = 31.6 Atomic Percent = 43.5 Mass Percent
  Layer # 2-  S = .108 Atomic Percent = .300 Mass Percent
  Layer # 2- Mg = 9.57 Atomic Percent = .200 Mass Percent
Layer  3 : Brain (ICRP)
Layer Width =     3.E+07 AAA ;
  Layer # 3- Density = 10.41E22 atoms/cm3 = 1.03 g/cm3
  Layer # 3-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 3-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 3-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 3-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 3-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 3-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 3- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 3- Na = 4.65 Atomic Percent = .179 Mass Percent
Layer  4 : Brain Tumour (ICRP brain comp.)
Layer Width =     2.E+07 AAA ;
  Layer # 4- Density = 10.62E22 atoms/cm3 = 1.05 g/cm3
  Layer # 4-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 4-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 4-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 4-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 4-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 4-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 4- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 4- Na = 4.65 Atomic Percent = .179 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100000.E+01  120545.E-10  178354.E-10
200000.E+01  121434.E-10  209531.E-10
300000.E+01  121244.E-10  183893.E-10
400000.E+01  121950.E-10  235256.E-10
500000.E+01  122183.E-10  209430.E-10
600000.E+01  122097.E-10  197578.E-10
700000.E+01  124016.E-10  169881.E-10
800000.E+01  122368.E-10  216352.E-10
900000.E+01  124871.E-10  194756.E-10
100000.E+02  131131.E-10  223788.E-10
110000.E+02  177080.E-10  272855.E-10
120000.E+02  176302.E-10  325508.E-10
130000.E+02  179269.E-10  375609.E-10
140000.E+02  181756.E-10  324824.E-10
150000.E+02  182872.E-10  312787.E-10
160000.E+02  184756.E-10  412171.E-10
170000.E+02  184527.E-10  408973.E-10
180000.E+02  186474.E-10  361259.E-10
190000.E+02  188408.E-10  382303.E-10
200000.E+02  190644.E-10  353767.E-10
210000.E+02  194064.E-10  389724.E-10
220000.E+02  195316.E-10  352099.E-10
230000.E+02  197432.E-10  478526.E-10
240000.E+02  199591.E-10  377774.E-10
250000.E+02  201486.E-10  380150.E-10
260000.E+02  201915.E-10  485613.E-10
270000.E+02  205703.E-10  349584.E-10
280000.E+02  206215.E-10  444407.E-10
290000.E+02  209673.E-10  409428.E-10
300000.E+02  211784.E-10  428358.E-10
310000.E+02  215396.E-10  468687.E-10
320000.E+02  218555.E-10  438321.E-10
330000.E+02  220850.E-10  429965.E-10
340000.E+02  223575.E-10  444580.E-10
350000.E+02  227894.E-10  660496.E-10
360000.E+02  230053.E-10  521469.E-10
370000.E+02  233545.E-10  487040.E-10
380000.E+02  236445.E-10  434281.E-10
390000.E+02  241050.E-10  503105.E-10
400000.E+02  243640.E-10  650054.E-10
410000.E+02  245731.E-10  519335.E-10
420000.E+02  251432.E-10  530487.E-10
430000.E+02  254690.E-10  582233.E-10
440000.E+02  258979.E-10  481813.E-10
450000.E+02  262002.E-10  678008.E-10
460000.E+02  267930.E-10  528523.E-10
470000.E+02  273285.E-10  584017.E-10
480000.E+02  280603.E-10  556380.E-10
490000.E+02  284113.E-10  544789.E-10
500000.E+02  298949.E-10  580006.E-10
510000.E+02  172397.E-10  381294.E-10
520000.E+02  173987.E-10  367957.E-10
530000.E+02  177967.E-10  377111.E-10
540000.E+02  178807.E-10  374841.E-10
550000.E+02  182600.E-10  298799.E-10
560000.E+02  184365.E-10  356896.E-10
570000.E+02  187835.E-10  423280.E-10
580000.E+02  192216.E-10  337213.E-10
590000.E+02  193818.E-10  371723.E-10
600000.E+02  197257.E-10  367558.E-10
610000.E+02  201668.E-10  387101.E-10
620000.E+02  204999.E-10  375816.E-10
630000.E+02  208269.E-10  419635.E-10
640000.E+02  214262.E-10  335169.E-10
650000.E+02  216931.E-10  435943.E-10
660000.E+02  223877.E-10  500415.E-10
670000.E+02  227288.E-10  390821.E-10
680000.E+02  233579.E-10  483988.E-10
690000.E+02  237933.E-10  412768.E-10
700000.E+02  245176.E-10  533200.E-10
710000.E+02  251978.E-10  439242.E-10
720000.E+02  260578.E-10  496102.E-10
730000.E+02  267253.E-10  495978.E-10
740000.E+02  275873.E-10  661717.E-10
750000.E+02  285687.E-10  589732.E-10
760000.E+02  294809.E-10  568058.E-10
770000.E+02  305372.E-10  664245.E-10
780000.E+02  318172.E-10  657404.E-10
790000.E+02  335502.E-10  722882.E-10
800000.E+02  365134.E-10  729676.E-10
810000.E+02  381769.E-10  753327.E-10
820000.E+02  408194.E-10  753963.E-10
830000.E+02  438453.E-10  835930.E-10
840000.E+02  481290.E-10  920074.E-10
850000.E+02  533209.E-10  108321.E-09
860000.E+02  622309.E-10  127781.E-09
870000.E+02  785914.E-10  159218.E-09
880000.E+02  112473.E-09  230323.E-09
890000.E+02  151339.E-09  310336.E-09
900000.E+02  163172.E-09  342162.E-09
910000.E+02  125053.E-09  268361.E-09
920000.E+02  650336.E-10  131355.E-09
930000.E+02  214048.E-10  438062.E-10
940000.E+02  471474.E-11  966797.E-11
950000.E+02  751918.E-12  133850.E-11
960000.E+02  393977.E-13  717348.E-13
970000.E+02  000000.E+00  000000.E+00
980000.E+02  000000.E+00  000000.E+00
990000.E+02  000000.E+00  000000.E+00
100000.E+03  000000.E+00  000000.E+00
