============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Au (79)   Ion Mass= 196.9670
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=200000.E-02 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000099   2.2658E+02 -1.0840E+02 -1.4876E+01
0000100   3.5574E+02 -1.0372E+02 -1.7172E+01
0000101   1.4379E+02 -4.4992E+01  4.9595E+01
0000102   3.0087E+02 -4.6835E+01 -5.0411E-01
0000103   3.7953E+02 -8.1468E+01  3.4441E+01
0000104   2.6070E+02 -7.4797E+01 -1.1213E+02
0000105   2.3455E+02 -1.1505E+01 -5.8957E+01
0000106   2.1296E+02 -2.6633E+01  3.0864E+01
0000107   3.3970E+02  1.3956E+02  8.4773E+01
0000108   3.4760E+02  3.5915E+01  1.6601E+01
0000109   4.5854E+02  5.8528E+01 -9.8305E+01
0000110   4.0652E+02  8.7866E+01 -2.7677E+01
0000111   1.2465E+02  1.6845E+01 -7.9606E+01
0000112   2.9270E+02 -1.5362E+01  2.0143E+00
0000113   2.6238E+02 -6.5453E+01 -3.2250E+01
0000114   2.2298E+02  1.3740E+01  4.7965E+01
0000115   2.7489E+02  3.8775E+01  1.7225E+01
0000116   4.2933E+02  1.5887E+02 -1.0222E+02
0000117   1.1348E+02 -3.5760E+01  2.1222E+01
0000118   2.8972E+02 -8.6181E+01 -3.3284E+01
0000119   1.7578E+02 -1.7470E+02  3.4679E+01
0000120   2.2646E+02  3.9438E+00 -8.6064E+01
0000121   2.7940E+02  1.0155E+02  1.9031E+01
0000122   4.1237E+02 -7.4956E+01  3.6187E+01
0000123   2.8850E+02 -6.3917E+01  9.2869E+00
0000124   3.3900E+02  1.6871E+02 -4.8594E+00
0000125   3.1150E+02 -5.8929E+01 -7.7762E+01
0000126   1.4181E+02 -2.3574E+01 -3.8355E+01
0000127   2.4851E+02 -1.1605E+02  8.7894E+01
0000128   4.2640E+02 -4.3612E+01 -1.1630E+02
0000129   3.8244E+02 -7.6983E+01  4.1174E+01
0000130   2.5908E+02 -4.3698E+01  9.4822E+01
0000131   1.9600E+02  3.3184E+01 -3.1598E+01
0000132   3.6826E+02 -1.0781E+02 -1.1432E+02
0000133   2.2007E+02  1.1818E+02 -8.4906E+00
0000134   2.8809E+02  6.7691E+01  9.6651E+00
0000135   4.3033E+02 -6.9746E+01  7.9261E+01
0000136   2.7626E+02  1.4183E+01 -5.3063E+01
0000137   1.1507E+02  5.2588E+01 -1.4874E+01
