============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=320000.E-02 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.0241E+03 -1.1663E+02  6.8381E+01
0000002   1.1377E+03 -4.4528E+02  2.5226E+02
0000003   1.5160E+03 -3.4414E+02 -2.7163E+02
0000004   1.0601E+03 -2.8249E+01  4.1679E+01
0000005   6.1684E+02  4.7633E+02 -1.1903E+02
0000006   1.1873E+03  2.6550E+02 -1.5623E+02
0000007   4.0188E+02  1.6023E+02  7.1069E+01
0000008   1.5292E+03 -8.3951E+02 -3.1235E+02
0000009   1.0496E+03 -3.6017E+02  4.8930E+02
0000010   1.3078E+03  8.9697E+01  3.3169E+02
0000011   7.3679E+02  2.8939E+00 -2.9673E+02
0000012   4.5599E+02 -3.0651E+02  7.1829E+02
0000013   6.6470E+02  3.7836E+02  6.6597E+02
0000014   5.2432E+02 -4.3766E+02  1.6375E+02
0000015   8.3847E+02  2.2049E+02 -2.3527E+02
0000016   8.7247E+02 -1.7107E+02  1.5460E+02
0000017   4.5171E+02 -2.3629E+02  4.2813E+02
0000018   2.7597E+02  6.4472E+01  2.8139E+02
0000019   7.4299E+02  9.5242E+01  8.0459E+02
0000020   9.8013E+02 -2.8862E+02 -4.8412E+02
0000021   8.7064E+02 -1.8369E+02  3.0223E+02
0000022   1.0742E+03  3.2679E+01  1.6984E+02
0000023   1.3891E+03 -2.2683E+02 -1.5529E+02
0000024   1.1938E+03  2.4827E+02  2.3659E+02
0000025   2.7821E+02  3.2358E+01 -5.1708E+01
0000026   8.0779E+02 -2.0329E+02  8.1635E+01
0000027   1.5990E+03  1.9546E+02 -4.9579E+02
0000028   1.6688E+03  1.5854E+02  9.6302E+02
0000029   1.1364E+02  2.4502E+00 -1.4301E+02
0000030   3.0894E+02  2.9073E+00  4.1604E+02
0000031   1.0119E+03  3.5674E+02 -2.9182E+02
0000032   1.0981E+03 -8.4095E+02 -1.4336E+02
0000033   1.0111E+03 -6.3864E+02  2.1040E+02
0000034   1.0075E+03 -5.6547E+02 -4.1598E+02
0000035   9.6532E+01  2.0062E+02  3.1382E+02
0000036   5.1309E+02  2.5593E+02 -8.3097E+02
0000037   7.0253E+02  4.3307E+02  3.7878E+02
0000038   3.9908E+02 -1.5219E+02  1.8877E+01
0000039   4.2305E+02 -6.5212E+02  1.0690E+02
0000040   3.4664E+02 -3.0341E+02 -1.5406E+02
0000041   5.9001E+02  1.6843E+02  2.5139E+02
0000042   1.0038E+03  3.0565E+01  9.1735E+02
0000043   9.2409E+02 -1.1835E+02  8.4392E+02
0000044   3.2903E+02 -9.9749E+01 -2.9942E+02
0000045   3.0853E+02 -6.5646E+02 -1.2750E+02
0000046   6.5505E+02  2.5077E+02  9.7781E+01
0000047   4.1572E+02  2.0939E+02 -1.1960E+01
0000048   2.1555E+02  1.8349E+02 -3.4223E+02
0000049   8.7904E+02  4.3607E+02 -4.5485E+02
0000050   8.1621E+02  4.5789E+01 -2.2259E+01
0000051   1.3036E+03 -1.4800E+02 -2.1135E+01
0000052   7.9788E+02 -1.1551E+02 -2.3171E+02
0000053   7.1228E+02 -3.3322E+02  8.9626E+01
0000054   7.0401E+02  8.4079E+01 -6.1122E+01
0000055   4.0058E+01  1.5995E+02  1.9315E+02
0000056   9.6558E+02 -2.5405E+02 -2.4254E+02
0000057   5.7639E+02 -6.3567E+02 -7.9646E+02
0000058   1.1960E+03 -1.0502E+02  8.0673E+01
0000059   7.7780E+02 -4.6492E+02 -8.8533E+01
0000060   1.0629E+03 -4.7763E+02 -5.7604E+02
0000061   8.0675E+02 -3.2100E+02  2.6065E+02
0000062   3.2483E+02 -3.6999E+02  5.3998E+01
0000063   6.5100E+02  1.0257E+01  1.5466E+02
0000064   8.3831E+02  3.8554E+02 -1.5906E+02
0000065   5.3047E+02 -1.1385E+01  6.3912E+02
0000066   8.7689E+02 -1.8951E+01  1.9850E+02
0000067   1.2446E+03 -6.5081E+01 -2.9499E+02
0000068   1.0972E+03 -3.3883E+02  3.1869E+02
0000069   9.4904E+02 -4.2740E+02 -8.8824E+01
0000070   8.7710E+02 -1.3933E+02 -1.4189E+02
0000071   6.3000E+02 -2.5548E+02 -5.3604E+01
0000072   1.0807E+03  1.8225E+02 -6.5187E+02
0000073   2.6646E+02 -2.3572E+02 -2.2848E+02
0000074   4.8414E+02 -5.5470E+02 -3.4087E+02
0000075   1.0541E+03 -6.0060E+01  2.2047E+02
0000076   2.4782E+02  5.2571E+02 -6.2298E+02
0000077   1.0922E+03  3.1485E+02  2.9887E+02
0000078   5.8690E+02 -1.7555E+02  2.2798E+02
0000079   4.3015E+02  2.6131E+02  3.5093E+02
0000080   7.0130E+02 -6.6507E+02  6.9925E+01
0000081   1.0655E+03  3.6803E+01  1.6365E+02
0000082   8.1443E+02 -9.7001E+01  8.5834E+02
0000083   1.0779E+03  9.3186E+01 -5.9814E+02
0000084   3.4042E+02 -1.0283E+02  6.3320E+01
0000085   6.0160E+02  3.0119E+02  3.5319E+01
0000086   7.7359E+02 -2.0718E+02  1.6443E+02
0000087   6.1921E+02  9.4727E+01  2.8360E+01
0000088   2.5502E+02 -3.8302E+02  1.1097E+01
0000089   8.3928E+02 -3.8116E+02  9.0969E+01
0000090   1.1570E+03  7.0040E+00  4.3317E+02
0000091   9.3813E+01 -2.1335E+02 -4.4944E+02
0000092   7.4331E+02 -2.5155E+02  4.1782E+01
0000093   1.0962E+03 -6.3526E+01 -7.0324E+02
0000094   1.6293E+03  8.7499E+02 -5.5793E+01
0000095   1.4793E+03 -6.6349E+02 -4.7227E+02
0000096   1.5234E+03 -2.6708E+02 -1.1701E+02
0000097   1.1939E+03  1.7814E+02  7.0445E+01
0000098   4.6413E+02 -5.7720E+01  4.3216E+02
0000099   5.0382E+02  4.3457E+02 -3.8371E+02
0000100   1.2499E+03  3.8305E+02 -2.8377E+01
0000101   1.2401E+03 -1.6038E+02 -5.8390E+01
0000102   9.4728E+02  4.4293E+02 -3.2410E+02
0000103   2.0770E+02 -4.9836E+01 -7.7739E+02
0000104   9.3229E+02 -7.1925E+01  5.2342E+00
0000105   5.2648E+02  7.3244E+02  3.8377E+02
0000106   1.1742E+03 -4.6177E+02 -7.0032E+01
