bin_m,mean_Se_eV_per_A,dE_keV_total,npts
662.5000,2.446796e-05,1.226410e+06,4595
667.5000,2.447695e-05,1.210330e+06,4597
672.5000,2.448603e-05,1.244080e+06,4625
677.5000,2.449539e-05,1.207510e+06,4613
682.5000,2.450425e-05,1.238630e+06,4639
687.5000,2.451374e-05,1.195540e+06,4623
692.5000,2.452265e-05,1.217280e+06,4634
697.5000,2.453180e-05,1.200700e+06,4644
702.5000,2.454103e-05,1.215660e+06,4662
707.5000,2.455046e-05,1.234750e+06,4658
712.5000,2.455981e-05,1.229060e+06,4664
717.5000,2.456942e-05,1.223050e+06,4684
722.5000,2.457896e-05,1.223060e+06,4683
727.5000,2.458833e-05,1.235770e+06,4664
732.5000,2.459820e-05,1.224290e+06,4689
737.5000,2.460771e-05,1.236320e+06,4704
742.5000,2.461721e-05,1.229580e+06,4715
747.5000,2.462732e-05,1.242400e+06,4706
752.5000,2.463679e-05,1.207740e+06,4711
757.5000,2.464652e-05,1.263170e+06,4748
762.5000,2.465653e-05,1.232190e+06,4717
767.5000,2.466637e-05,1.251000e+06,4746
772.5000,2.467616e-05,1.212140e+06,4742
777.5000,2.468606e-05,1.235370e+06,4769
782.5000,2.469626e-05,1.232640e+06,4744
787.5000,2.470586e-05,1.236900e+06,4773
792.5000,2.471635e-05,1.252800e+06,4782
797.5000,2.472675e-05,1.238250e+06,4782
802.5000,2.473667e-05,1.255750e+06,4785
807.5000,2.474695e-05,1.242380e+06,4801
812.5000,2.475751e-05,1.239000e+06,4804
817.5000,2.476760e-05,1.265780e+06,4808
822.5000,2.477814e-05,1.248860e+06,4824
827.5000,2.478854e-05,1.249320e+06,4836
832.5000,2.479900e-05,1.226900e+06,4824
837.5000,2.480922e-05,1.216340e+06,4827
842.5000,2.481955e-05,1.239180e+06,4848
847.5000,2.483008e-05,1.248010e+06,4875
852.5000,2.484103e-05,1.265290e+06,4863
857.5000,2.485160e-05,1.237110e+06,4857
862.5000,2.486219e-05,1.236110e+06,4882
867.5000,2.487309e-05,1.268580e+06,4887
872.5000,2.488396e-05,1.230830e+06,4897
877.5000,2.489447e-05,1.241300e+06,4902
882.5000,2.490536e-05,1.231060e+06,4886
887.5000,2.491600e-05,1.243300e+06,4934
892.5000,2.492716e-05,1.252800e+06,4916
897.5000,2.493802e-05,1.237170e+06,4928
902.5000,2.494910e-05,1.245490e+06,4932
907.5000,2.496011e-05,1.241160e+06,4931
912.5000,2.497123e-05,1.262050e+06,4961
917.5000,2.498234e-05,1.244490e+06,4976
922.5000,2.499377e-05,1.260330e+06,4967
927.5000,2.500509e-05,1.249210e+06,4970
932.5000,2.501615e-05,1.224070e+06,4982
937.5000,2.502765e-05,1.268030e+06,4994
942.5000,2.503893e-05,1.242710e+06,5005
947.5000,2.505026e-05,1.235270e+06,5002
952.5000,2.506160e-05,1.241700e+06,5016
957.5000,2.507335e-05,1.242300e+06,5018
962.5000,2.508460e-05,1.243930e+06,5033
967.5000,2.509634e-05,1.264270e+06,5036
972.5000,2.510842e-05,1.278110e+06,5050
977.5000,2.512012e-05,1.246490e+06,5053
982.5000,2.513192e-05,1.265310e+06,5080
987.5000,2.514393e-05,1.251260e+06,5071
992.5000,2.515549e-05,1.251900e+06,5063
997.5000,2.516762e-05,1.268050e+06,5094
1002.5000,2.517965e-05,1.251260e+06,5046
1007.5000,2.519165e-05,1.263980e+06,5108
1012.5000,2.520416e-05,1.268190e+06,5117
1017.5000,2.521619e-05,1.257130e+06,5113
1022.5000,2.522853e-05,1.273650e+06,5145
1027.5000,2.524081e-05,1.240710e+06,5124
1032.5000,2.525258e-05,1.251620e+06,5124
1037.5000,2.526545e-05,1.284100e+06,5162
1042.5000,2.527820e-05,1.262110e+06,5177
1047.5000,2.529080e-05,1.279470e+06,5185
1052.5000,2.530295e-05,1.265030e+06,5156
1057.5000,2.531596e-05,1.258030e+06,5182
1062.5000,2.532868e-05,1.278440e+06,5202
1067.5000,2.534148e-05,1.287160e+06,5221
1072.5000,2.535385e-05,1.257730e+06,5192
1077.5000,2.536727e-05,1.277890e+06,5232
1082.5000,2.538051e-05,1.283770e+06,5221
1087.5000,2.539298e-05,1.241730e+06,5234
1092.5000,2.540611e-05,1.277450e+06,5261
1097.5000,2.541915e-05,1.278100e+06,5263
1102.5000,2.543258e-05,1.285150e+06,5273
1107.5000,2.544582e-05,1.256650e+06,5255
1112.5000,2.545893e-05,1.262480e+06,5300
1117.5000,2.547180e-05,1.249230e+06,5303
1122.5000,2.548545e-05,1.291470e+06,5295
1127.5000,2.549918e-05,1.272460e+06,5290
1132.5000,2.551244e-05,1.282610e+06,5327
1137.5000,2.552598e-05,1.271600e+06,5333
1142.5000,2.554008e-05,1.269640e+06,5352
1147.5000,2.555316e-05,1.255740e+06,5322
1152.5000,2.556674e-05,1.258480e+06,5370
1157.5000,2.558048e-05,1.279370e+06,5373
1162.5000,2.559490e-05,1.290650e+06,5354
1167.5000,2.560860e-05,1.295670e+06,5392
1172.5000,2.562283e-05,1.274020e+06,5400
1177.5000,2.563716e-05,1.315790e+06,5408
1182.5000,2.565153e-05,1.274990e+06,5413
1187.5000,2.566545e-05,1.267350e+06,5414
1192.5000,2.567997e-05,1.279180e+06,5440
1197.5000,2.569387e-05,1.293510e+06,5449
1202.5000,2.570903e-05,1.286890e+06,5441
1207.5000,2.572333e-05,1.309420e+06,5460
1212.5000,2.573781e-05,1.284530e+06,5467
1217.5000,2.575308e-05,1.284920e+06,5474
1222.5000,2.576739e-05,1.300990e+06,5492
1227.5000,2.578253e-05,1.295430e+06,5506
1232.5000,2.579743e-05,1.302140e+06,5504
1237.5000,2.581240e-05,1.316380e+06,5520
1242.5000,2.582756e-05,1.263920e+06,5533
1247.5000,2.584260e-05,1.275090e+06,5541
1252.5000,2.585751e-05,1.293870e+06,5560
1257.5000,2.587268e-05,1.281680e+06,5527
1262.5000,2.588818e-05,1.295430e+06,5594
1267.5000,2.590323e-05,1.298610e+06,5581
1272.5000,2.591878e-05,1.301520e+06,5574
1277.5000,2.593440e-05,1.286210e+06,5610
1282.5000,2.594994e-05,1.291130e+06,5590
1287.5000,2.596574e-05,1.303130e+06,5634
1292.5000,2.598160e-05,1.308960e+06,5639
1297.5000,2.599762e-05,1.314150e+06,5625
1302.5000,2.601365e-05,1.287700e+06,5660
1307.5000,2.602907e-05,1.292870e+06,5667
1312.5000,2.604560e-05,1.306600e+06,5654
1317.5000,2.606131e-05,1.279960e+06,5705
1322.5000,2.607790e-05,1.303700e+06,5696
1327.5000,2.609404e-05,1.299060e+06,5683
1332.5000,2.611025e-05,1.311910e+06,5733
1337.5000,2.612705e-05,1.306680e+06,5715
1342.5000,2.614361e-05,1.320430e+06,5720
1347.5000,2.616007e-05,1.307630e+06,5760
1352.5000,2.617737e-05,1.317040e+06,5763
1357.5000,2.619426e-05,1.318910e+06,5775
1362.5000,2.621107e-05,1.316800e+06,5771
1367.5000,2.622861e-05,1.312350e+06,5801
1372.5000,2.624547e-05,1.304900e+06,5784
1377.5000,2.626189e-05,1.311440e+06,5834
1382.5000,2.627970e-05,1.315400e+06,5814
1387.5000,2.629745e-05,1.306900e+06,5825
1392.5000,2.631465e-05,1.314020e+06,5835
1397.5000,2.633177e-05,1.307760e+06,5884
1402.5000,2.634927e-05,1.316200e+06,5891
1407.5000,2.636777e-05,1.316730e+06,5869
1412.5000,2.638507e-05,1.295620e+06,5889
1417.5000,2.640275e-05,1.324270e+06,5892
1422.5000,2.642067e-05,1.311820e+06,5924
1427.5000,2.643885e-05,1.332510e+06,5922
1432.5000,2.645700e-05,1.317940e+06,5947
1437.5000,2.647552e-05,1.325400e+06,5951
1442.5000,2.649394e-05,1.334270e+06,5957
1447.5000,2.651248e-05,1.346200e+06,5977
1452.5000,2.653123e-05,1.317780e+06,5989
1457.5000,2.655020e-05,1.325910e+06,5993
