bin_m,mean_Se_eV_per_A,dE_keV_total,npts
2797.5000,4.666324e-05,2.344590e+06,17682
2802.5000,4.701921e-05,2.343530e+06,17883
2807.5000,4.737870e-05,2.363180e+06,18071
2812.5000,4.775089e-05,2.380480e+06,18278
2817.5000,4.813555e-05,2.395190e+06,18507
2822.5000,4.853372e-05,2.407460e+06,18725
2827.5000,4.894690e-05,2.445810e+06,18955
2832.5000,4.937344e-05,2.463240e+06,19192
2837.5000,4.981787e-05,2.480960e+06,19437
2842.5000,5.028124e-05,2.496290e+06,19693
2847.5000,5.075951e-05,2.526340e+06,19949
2852.5000,5.126380e-05,2.545130e+06,20212
2857.5000,5.178016e-05,2.583340e+06,20529
2862.5000,5.233282e-05,2.606367e+06,20811
2867.5000,5.289412e-05,2.615533e+06,21128
2872.5000,5.349926e-05,2.646366e+06,21441
2877.5000,5.411595e-05,2.694667e+06,21781
2882.5000,5.477881e-05,2.707934e+06,22127
2887.5000,5.547341e-05,2.736615e+06,22509
2892.5000,5.621237e-05,2.780644e+06,22894
2897.5000,5.699793e-05,2.819182e+06,23337
2902.5000,5.783377e-05,2.854748e+06,23725
2907.5000,5.874394e-05,2.889506e+06,24180
2912.5000,5.973080e-05,2.940203e+06,24707
2917.5000,6.084417e-05,2.987635e+06,25252
2922.5000,6.220489e-05,3.007075e+06,25763
2927.5000,6.500458e-05,3.092813e+06,26503
2932.5000,7.377119e-05,3.115901e+06,27061
2937.5000,6.578688e-05,3.179627e+06,27613
2942.5000,6.824459e-05,3.237116e+06,28392
2947.5000,7.908184e-05,3.298852e+06,29345
2952.5000,8.052953e-05,3.351571e+06,30095
2957.5000,8.246312e-05,3.414106e+06,31015
2962.5000,8.385846e-05,3.491889e+06,31899
2967.5000,7.782094e-05,3.561161e+06,32877
2972.5000,9.870069e-05,3.640783e+06,34677
2977.5000,1.094541e-04,3.719908e+06,36132
2982.5000,1.175906e-04,3.802070e+06,37484
2987.5000,1.108410e-04,3.863025e+06,39020
2992.5000,1.504222e-04,3.901954e+06,41544
2997.5000,1.776503e-04,3.954708e+06,44414
3002.5000,1.910998e-04,3.979310e+06,46036
3007.5000,2.170364e-04,3.958692e+06,47861
3012.5000,2.150505e-04,3.971731e+06,50421
3017.5000,3.028206e-04,3.883112e+06,53223
3022.5000,3.116613e-04,3.803784e+06,53553
3027.5000,3.197272e-04,3.690838e+06,53232
3032.5000,2.852816e-04,3.591903e+06,52876
3037.5000,3.720935e-04,3.437886e+06,55975
3042.5000,3.755435e-04,3.275839e+06,55893
3047.5000,4.199694e-04,3.036308e+06,54912
3052.5000,4.666621e-04,2.808619e+06,54104
3057.5000,4.079397e-04,2.559870e+06,48892
3062.5000,5.052748e-04,2.317760e+06,49314
3067.5000,5.161746e-04,2.043371e+06,45314
3072.5000,5.218588e-04,1.787388e+06,40842
3077.5000,5.263322e-04,1.540379e+06,36643
3082.5000,5.897811e-04,1.304216e+06,33043
3087.5000,5.732983e-04,1.105731e+06,29778
3092.5000,6.540865e-04,8.828393e+05,25293
3097.5000,6.069621e-04,7.219913e+05,21428
3102.5000,7.546881e-04,5.472680e+05,18894
3107.5000,7.655195e-04,3.940127e+05,12628
3112.5000,5.771675e-04,3.038623e+05,8120
3117.5000,6.636850e-04,2.452952e+05,7166
3122.5000,4.939943e-04,2.001047e+05,5376
3127.5000,7.835577e-04,1.572256e+05,5844
3132.5000,8.054740e-04,1.056232e+05,3839
3137.5000,6.603681e-04,7.727301e+04,2237
3142.5000,6.146638e-04,6.127920e+04,1682
3147.5000,4.009932e-04,5.247470e+04,1522
3152.5000,8.165834e-04,3.810409e+04,1781
3157.5000,1.149430e-03,2.065928e+04,1346
3162.5000,1.967765e-04,8.985000e+03,198
3167.5000,9.173424e-04,7.922200e+03,373
3172.5000,1.768127e-04,4.457000e+03,95
3177.5000,2.383598e-04,4.387000e+03,134
3182.5000,1.159448e-03,2.611900e+03,276
