============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1000000.E+00 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Air, Dry
  Layer # 1 - Bottom Depth=600000.E+08 A
  Layer # 1 - Density =0000.0012 g/cm3
  Layer # 1 -  0 % of  C
  Layer # 1 -  21 % of  O
  Layer # 1 -  78 % of  N
  Layer # 1 -  0 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000098   3.0562E+13  2.3413E+11 -2.3449E+11
0000099   3.0854E+13 -9.9860E+11  2.4131E+10
0000100   2.9975E+13 -6.6088E+11 -5.4559E+10
0000101   3.0458E+13 -2.4526E+11 -1.7108E+10
0000102   3.0543E+13  6.5680E+10 -5.5132E+11
0000103   3.0890E+13  4.0201E+11 -1.8058E+11
0000104   3.0637E+13 -1.2560E+10 -4.2105E+11
0000105   3.0669E+13  2.4130E+11 -6.1228E+11
0000106   3.0285E+13  8.5961E+11 -2.2367E+11
0000107   3.0289E+13 -1.0592E+10  7.2793E+11
0000108   3.0291E+13  1.6412E+11 -5.9753E+10
0000109   3.0402E+13  4.2378E+11  1.9395E+11
0000110   3.0189E+13 -3.5416E+11 -6.9514E+10
0000111   3.0145E+13 -2.1835E+11 -2.5835E+11
0000112   3.0676E+13  2.5555E+11 -2.1637E+11
0000113   2.9985E+13 -3.2945E+11  1.8766E+10
0000114   3.1517E+13 -1.1188E+11 -2.1694E+11
0000115   3.0046E+13  5.1051E+10 -5.2682E+11
0000116   3.0280E+13 -1.8111E+11 -5.7243E+10
0000117   3.0717E+13 -2.5602E+11  2.9809E+11
0000118   3.0221E+13 -6.7502E+11 -2.6550E+11
0000119   3.0787E+13 -1.1672E+12 -9.8319E+10
0000120   3.0302E+13  2.9982E+11 -2.3011E+11
0000121   3.0481E+13  4.6086E+11  1.4553E+09
0000122   3.0705E+13 -3.2405E+11 -1.5741E+11
0000123   3.0184E+13  3.5371E+11 -1.4783E+11
0000124   3.0753E+13  1.4214E+11  4.3042E+11
0000125   3.0773E+13 -6.6980E+11 -1.6739E+10
0000126   3.0782E+13  3.5614E+11  7.2464E+11
0000127   3.0452E+13 -3.5068E+10  3.1694E+11
0000128   3.0963E+13  5.1280E+11 -1.6940E+11
0000129   3.0237E+13  4.4856E+11 -1.1114E+11
0000130   3.0425E+13 -5.0034E+10 -1.1249E+11
0000131   3.0531E+13  3.0029E+10 -6.3477E+10
0000132   3.0341E+13 -3.0354E+11  1.5604E+11
0000133   3.0601E+13  3.8049E+11 -5.4768E+11
0000134   3.1253E+13  4.3413E+11 -6.3288E+10
0000135   3.0428E+13 -1.6833E+11 -2.5476E+11
0000136   3.0812E+13 -2.1255E+11  2.5657E+11
0000137   3.0416E+13  2.8263E+11 -4.3070E+10
0000138   3.0469E+13 -3.6861E+11 -2.7212E+11
0000139   3.0422E+13  3.7252E+11 -9.8498E+11
0000140   3.0449E+13 -6.2808E+11 -1.9535E+11
0000141   3.0586E+13 -6.3399E+11  2.9478E+11
0000142   3.0977E+13 -3.2705E+11 -2.7348E+11
0000143   3.0976E+13 -2.2036E+11  9.3661E+10
0000144   3.0089E+13 -1.4832E+11  3.9420E+11
0000145   3.0231E+13  9.2756E+11 -2.4144E+11
0000146   3.1009E+13 -3.7494E+11 -2.4915E+11
0000147   3.0554E+13 -1.8439E+11  7.3233E+10
0000148   3.1098E+13  6.3816E+10 -2.2918E+11
0000149   3.0713E+13  1.1928E+11 -1.1703E+12
0000150   3.1557E+13  4.2757E+11 -1.4845E+11
0000151   3.0868E+13 -6.5375E+11  5.0553E+11
0000152   3.0623E+13  2.0514E+11 -4.7514E+11
0000153   3.0659E+13 -3.4583E+11 -6.3337E+11
0000154   3.0668E+13 -2.5522E+11  2.2405E+11
0000155   3.0623E+13  6.6099E+11  6.8994E+11
0000156   3.0369E+13 -2.0594E+10 -2.2532E+10
0000157   3.0331E+13  3.0233E+11  6.0859E+11
0000158   3.0729E+13 -5.6278E+11  5.7211E+11
0000159   2.9830E+13  8.2546E+09  1.0483E+12
0000160   3.1562E+13  1.3698E+11  1.1579E+11
0000161   3.0537E+13  1.7735E+11 -9.0054E+11
0000162   3.0391E+13  1.6694E+11  8.1266E+11
0000163   3.0355E+13 -7.1275E+11 -1.9659E+10
0000164   3.0965E+13 -8.8149E+11  4.1446E+10
0000165   3.0373E+13  1.3661E+11  4.0989E+11
0000166   3.0772E+13  8.9102E+10  7.5297E+10
0000167   3.0700E+13 -1.0237E+12  1.0880E+11
0000168   3.0406E+13 -3.0563E+11 -5.8268E+11
0000169   3.0690E+13 -4.5934E+11 -9.0492E+10
0000170   3.0545E+13 -1.4988E+12 -3.4706E+11
0000171   3.0545E+13 -5.7532E+11  3.4934E+11
0000172   3.0416E+13 -4.3753E+11  1.4072E+11
0000173   2.9627E+13 -1.0464E+11 -6.7880E+11
0000174   3.0523E+13  2.3405E+11 -3.1564E+11
0000175   3.0670E+13 -1.6874E+10  3.1856E+11
0000176   3.1038E+13 -2.0502E+11  2.0939E+11
0000177   3.0910E+13 -1.4609E+11  5.7443E+11
0000178   3.0609E+13  2.4982E+11 -7.9421E+11
0000179   3.1024E+13  6.8188E+11 -3.9402E+11
0000180   3.0940E+13 -5.0574E+11 -2.7584E+11
0000181   3.0208E+13  2.7707E+11  1.3595E+12
0000182   3.0597E+13  2.2990E+11  9.3267E+10
0000183   3.0469E+13 -3.3284E+10  1.8643E+11
0000184   3.1141E+13 -4.5609E+10 -4.1993E+11
0000185   3.0610E+13  2.5125E+11 -1.0115E+11
0000186   3.0045E+13  4.1474E+11  3.8650E+11
0000187   3.0510E+13 -6.3742E+11  8.4246E+10
0000188   3.0776E+13 -4.6359E+11  1.4176E+09
0000189   3.0633E+13  5.1710E+11  4.1361E+11
0000190   3.0819E+13 -2.9292E+11 -2.9179E+10
0000191   3.0213E+13 -3.8099E+11  3.6730E+11
0000192   3.0275E+13  1.7188E+11 -3.2158E+11
0000193   3.0513E+13 -8.0563E+11  4.1620E+11
0000194   3.0416E+13  4.6607E+10 -5.4414E+11
0000195   3.0408E+13 -4.0405E+11  6.6229E+11
0000196   3.0598E+13  8.5706E+10 -2.2534E+11
0000197   3.0489E+13 -2.1697E+10  3.2759E+11
0000198   3.0819E+13  3.9070E+11 -1.8758E+11
0000199   3.0585E+13 -1.2193E+10  9.7351E+10
0000200   3.1039E+13 -5.0309E+11 -3.6334E+11
0000201   3.0624E+13 -2.5850E+11 -3.0773E+11
0000202   3.0831E+13  9.8814E+10 -9.9053E+09
0000203   3.0209E+13  8.0205E+11  4.0176E+11
0000204   3.0603E+13 -1.8423E+10 -3.5634E+11
0000205   3.1146E+13  1.1136E+12 -3.0432E+11
0000206   3.1162E+13 -4.8756E+11  2.8204E+11
0000207   3.0532E+13  1.2555E+11  5.5208E+11
0000208   3.0610E+13 -1.7253E+11 -7.8154E+11
0000209   3.0589E+13  2.1076E+10  3.2203E+11
0000210   3.0693E+13  3.6623E+11  1.2621E+11
0000211   3.1172E+13 -6.3190E+10  8.9375E+11
0000212   3.0418E+13 -5.8393E+09  4.5366E+10
0000213   3.0585E+13 -5.9001E+11 -2.0043E+10
0000214   3.0388E+13 -1.6933E+11 -4.0887E+11
0000215   3.1014E+13 -2.0889E+11 -9.3708E+10
0000216   3.0222E+13  3.2286E+11 -6.0452E+10
0000217   3.0225E+13 -5.7792E+11 -1.2300E+11
0000218   3.0550E+13  3.0951E+11 -4.6088E+11
0000219   2.9738E+13  1.0874E+11  2.8896E+10
0000220   3.0530E+13 -1.6543E+11  2.9916E+11
0000221   3.0230E+13 -4.2398E+11  2.5172E+11
0000222   3.0230E+13  2.2407E+11  2.3646E+11
0000223   3.0084E+13  5.1937E+11 -1.9092E+11
0000224   3.1070E+13  1.2747E+11  6.8850E+11
0000225   3.0161E+13  3.5603E+11  5.0642E+10
0000226   3.0533E+13  4.8268E+10 -2.2708E+11
0000227   3.0624E+13 -7.6325E+11  4.9687E+11
0000228   2.9793E+13 -4.3111E+11  3.0525E+11
0000229   3.1594E+13 -8.3881E+11  2.6537E+11
0000230   3.0773E+13 -3.9560E+10 -7.6678E+11
0000231   3.0545E+13  1.8076E+11 -1.3657E+12
0000232   3.1310E+13 -4.1375E+11  2.3456E+11
0000233   3.1047E+13 -1.3291E+11 -2.8156E+11
0000234   2.9925E+13  1.7412E+11 -4.0602E+11
0000235   3.0613E+13  1.8121E+09 -1.2837E+11
0000236   3.0535E+13  2.2409E+10 -8.0554E+11
0000237   3.0389E+13  3.6286E+11  2.8260E+11
0000238   3.0772E+13  4.1000E+09 -3.4212E+11
0000239   3.0569E+13  1.4112E+11  6.1330E+10
0000240   3.0620E+13  1.0648E+11 -6.3058E+10
0000241   3.0931E+13  1.0915E+11 -1.0385E+12
0000242   3.0608E+13 -2.0570E+11 -4.9189E+11
0000243   3.0507E+13  9.9140E+10 -4.0210E+11
0000244   3.0322E+13 -6.9692E+11 -5.3563E+11
0000245   3.0469E+13  1.7485E+11  8.0734E+11
0000246   3.0895E+13  5.2455E+10  6.1139E+10
0000247   3.0613E+13  4.3539E+11 -8.3904E+10
0000248   3.1042E+13 -5.0461E+11  3.0546E+11
0000249   3.0827E+13 -7.9652E+11 -1.0612E+12
0000250   3.0836E+13 -1.0977E+09  2.7782E+11
0000251   3.1530E+13  4.7222E+10 -1.2868E+11
0000252   3.0708E+13 -3.0468E+11  5.8436E+11
0000253   3.0747E+13 -5.3966E+11 -2.0070E+11
0000254   3.0985E+13  5.7290E+10  1.6767E+11
0000255   3.0503E+13  6.4868E+11 -1.1343E+12
0000256   3.0659E+13  1.9580E+11 -3.3628E+11
0000257   3.0913E+13 -9.4932E+09  5.0730E+11
0000258   3.0916E+13  3.6735E+11 -1.8800E+10
0000259   3.0417E+13  1.0609E+11 -1.4834E+10
0000260   3.0675E+13  3.0490E+11  4.1681E+10
0000261   3.0813E+13 -2.2732E+11  4.2419E+11
0000262   3.0893E+13  5.1750E+11 -2.7287E+11
0000263   3.0287E+13 -1.3116E+11 -9.5710E+10
0000264   3.0182E+13  3.6257E+11 -7.9010E+11
0000265   3.1004E+13  1.1337E+11 -1.1627E+11
0000266   3.0657E+13  3.1024E+10  4.6213E+11
0000267   3.0015E+13  3.5220E+11  4.9373E+11
0000268   3.0963E+13 -4.0668E+11 -6.7523E+10
0000269   3.0580E+13  5.0575E+10  3.8382E+11
0000270   3.0789E+13 -3.9217E+11 -4.9521E+11
0000271   3.1290E+13  8.1326E+10 -3.2319E+11
0000272   3.0636E+13  2.8039E+11  9.4612E+08
0000273   3.0151E+13  3.2896E+11 -4.7805E+11
0000274   3.0855E+13  2.4619E+11 -3.2113E+11
0000275   3.0237E+13 -6.0048E+10 -1.8488E+11
0000276   3.0685E+13  5.2094E+11  2.8038E+11
0000277   3.0590E+13  1.6378E+11 -3.7006E+11
0000278   3.0273E+13  6.0570E+11  2.7614E+11
0000279   3.0341E+13 -1.5837E+11  2.5742E+11
0000280   3.0460E+13  2.2562E+11 -1.5382E+11
0000281   3.0649E+13 -3.2080E+11  6.1713E+11
0000282   3.0729E+13 -1.0753E+11 -7.2405E+11
0000283   3.0566E+13  5.0117E+11 -5.2042E+11
0000284   3.1012E+13 -2.4613E+11  1.3974E+11
0000285   3.1233E+13 -5.0708E+11  5.7362E+11
0000286   3.0943E+13 -2.2496E+11 -2.4946E+11
0000287   3.0388E+13  2.6059E+11  2.9396E+11
0000288   3.0595E+13  3.3242E+11  2.7163E+11
0000289   3.0609E+13  3.6299E+10 -5.4801E+11
0000290   3.0620E+13  1.9305E+11 -1.5804E+11
0000291   3.0814E+13  1.3224E+11 -9.0640E+10
0000292   3.0792E+13  2.8464E+11  4.2773E+11
0000293   3.0613E+13  2.1730E+11  4.6373E+11
0000294   3.0189E+13  3.3966E+11 -5.5261E+10
0000295   3.0469E+13 -3.7093E+10 -5.7133E+10
0000296   3.0719E+13 -9.0173E+11 -2.0269E+10
0000297   3.0386E+13 -7.8106E+10 -4.2923E+11
0000298   3.0761E+13  1.4054E+11  3.6864E+11
0000299   3.0836E+13  1.8516E+11 -9.4507E+11
0000300   3.0247E+13 -5.5526E+11 -1.4680E+12
0000301   3.0354E+13 -4.1604E+11 -5.9231E+10
0000302   3.0227E+13 -2.2011E+11  2.6548E+11
0000303   3.0381E+13 -4.5085E+11 -2.3156E+11
0000304   3.0448E+13 -4.3320E+11 -3.3217E+11
0000305   3.0574E+13  2.1052E+11  3.7955E+11
0000306   3.0691E+13 -3.4407E+11  2.5461E+11
0000307   2.9830E+13 -1.2616E+11 -4.7774E+11
0000308   3.0311E+13 -4.0311E+11  1.6326E+11
0000309   3.0323E+13  4.9591E+11  1.1360E+11
0000310   3.0582E+13  6.1536E+10  1.6354E+11
0000311   3.0331E+13 -1.6603E+12 -5.6463E+11
0000312   3.0679E+13 -2.0603E+10 -1.1662E+11
0000313   3.0721E+13 -1.0321E+11  3.7014E+10
0000314   2.9922E+13  4.8545E+11  6.8607E+11
0000315   2.9810E+13  1.0520E+12 -3.7458E+11
0000316   3.0624E+13  2.5975E+09  7.1409E+11
0000317   3.0451E+13  4.4209E+11 -1.7829E+11
0000318   3.0256E+13  2.6923E+11 -5.3792E+10
0000319   3.0495E+13 -3.3870E+11 -4.8438E+11
0000320   3.1117E+13 -1.3009E+11  6.0255E+11
0000321   3.0862E+13  6.2424E+11 -4.0993E+11
0000322   3.0502E+13  7.6272E+11 -1.0197E+12
0000323   3.0730E+13 -4.9658E+11 -1.9938E+11
0000324   3.0233E+13  1.6444E+12 -5.6722E+10
0000325   2.9969E+13  1.1794E+12  2.6223E+11
0000326   3.0151E+13  2.1266E+11 -2.9770E+11
0000327   3.1334E+13  5.9272E+10  1.5685E+11
0000328   3.0525E+13  1.7573E+11  2.5975E+11
0000329   3.0548E+13  3.6309E+11  2.5637E+10
0000330   3.0154E+13  5.6703E+10 -7.0750E+11
0000331   3.0302E+13  1.9381E+11 -4.5691E+11
0000332   3.0815E+13  1.2310E+11 -2.5414E+11
0000333   3.0188E+13  5.5220E+10 -7.9414E+10
0000334   3.0912E+13  1.3100E+10 -5.4740E+10
0000335   3.0825E+13 -4.1946E+10 -1.0605E+11
0000336   3.1030E+13  6.6646E+10  3.4546E+11
0000337   3.0622E+13  1.4618E+11 -5.0578E+11
0000338   3.0807E+13  2.0881E+11 -8.7874E+11
0000339   3.0493E+13  7.9088E+11 -1.2392E+11
0000340   3.0606E+13  1.3899E+11 -3.7371E+11
0000341   3.0433E+13 -2.4593E+11 -4.0759E+11
0000342   2.9864E+13 -1.4830E+11  1.3433E+11
0000343   3.0956E+13  2.5680E+10  1.2421E+11
0000344   3.0748E+13  1.1121E+12 -6.7069E+10
0000345   3.1022E+13 -2.4878E+11  3.7143E+11
0000346   3.1208E+13  1.5079E+11  1.6371E+11
0000347   3.0743E+13  1.5438E+11 -2.9524E+10
0000348   3.0563E+13  1.8633E+11  3.1561E+10
0000349   3.0274E+13  3.1457E+11  1.9170E+12
0000350   3.0904E+13 -7.3596E+10  4.6234E+11
0000351   3.0568E+13 -5.5629E+10  2.2877E+11
0000352   3.0679E+13 -5.3231E+10 -6.0696E+11
0000353   3.0153E+13 -3.0971E+11 -1.2031E+11
0000354   3.0398E+13 -6.7956E+11  2.8963E+11
0000355   3.0263E+13  4.2475E+11 -3.5587E+11
0000356   3.0259E+13  8.5317E+11 -7.2190E+09
0000357   2.9987E+13 -1.4951E+11  1.0188E+11
0000358   3.0062E+13  5.5488E+11  4.6379E+11
0000359   3.0919E+13 -1.0831E+12  1.8501E+11
0000360   3.1118E+13 -4.1440E+10  4.2614E+10
0000361   3.0458E+13 -3.8688E+11 -2.1504E+11
0000362   3.1034E+13  5.2013E+11  1.6752E+11
0000363   3.0419E+13  1.2012E+12  3.2484E+11
0000364   3.0073E+13 -6.2071E+11 -2.0923E+11
0000365   3.0596E+13 -2.9537E+11 -5.7356E+11
0000366   3.0751E+13  2.2465E+10  9.4280E+11
0000367   3.0286E+13 -2.2871E+11  2.9060E+11
0000368   3.1057E+13 -2.3996E+11 -4.8863E+11
0000369   3.0561E+13 -3.2313E+11  3.2075E+11
0000370   3.1001E+13 -2.4762E+11 -2.8425E+10
0000371   3.0747E+13 -1.0256E+12  3.3628E+11
0000372   3.0387E+13  2.2300E+11  2.5221E+10
0000373   3.0088E+13 -4.7440E+11 -2.7913E+11
0000374   3.0454E+13 -5.7354E+11 -4.7383E+11
0000375   3.0507E+13  7.9730E+11  1.4050E+11
0000376   3.1014E+13 -2.3633E+11 -3.6523E+11
0000377   3.0336E+13 -2.5796E+11 -3.0026E+10
0000378   3.0711E+13  8.7656E+10  1.8341E+11
0000379   3.0517E+13 -7.7723E+10  3.5080E+11
0000380   3.0128E+13 -3.8364E+11 -3.5297E+11
0000381   3.1046E+13 -2.3133E+11 -9.2221E+09
0000382   3.1132E+13  4.8110E+11 -8.2283E+11
0000383   3.0159E+13  7.8947E+11  2.9176E+11
0000384   3.0602E+13  7.9438E+09 -1.4782E+11
0000385   3.0698E+13  2.7865E+11 -5.1668E+11
0000386   3.1509E+13  1.1839E+11 -3.0033E+10
0000387   3.0795E+13  4.5122E+10 -1.8337E+11
0000388   3.0434E+13  6.6117E+11 -1.7878E+11
0000389   3.0824E+13 -2.4990E+11  5.7207E+10
0000390   3.0843E+13 -8.7590E+10 -2.8897E+11
0000391   3.0388E+13  1.6346E+11  2.4326E+11
0000392   3.0770E+13 -7.2026E+11 -5.8301E+11
0000393   3.0173E+13 -6.0800E+11  7.9950E+11
