====== 3keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(3 keV) ==> GaAs(  600 A) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 3 keV
 Total Ions calculated =20000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 60000.E-02 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 497713.E-04 A   Straggling = 293450.E-04 A
 Ion Lateral Range = 226282.E-04 A   Straggling = 294603.E-04 A
 Ion Radial  Range = 355543.E-04 A   Straggling = 213198.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
6010000.E-06 18773157.E-06 25451630.E-06 29652936.E-06 19939340.E-06 
1201000.E-05 18382899.E-06 25224141.E-06 29564576.E-06 20044241.E-06 
1801000.E-05 20419805.E-06 26703503.E-06 31116575.E-06 19609239.E-06 
2401000.E-05 20401913.E-06 27195588.E-06 31175603.E-06 19512414.E-06 
3001000.E-05 19437451.E-06 25625253.E-06 31409554.E-06 19357043.E-06 
3601000.E-05 20244275.E-06 26581738.E-06 32222346.E-06 19857959.E-06 
4201000.E-05 22139841.E-06 28907020.E-06 34392116.E-06 21065046.E-06 
4801000.E-05 22678503.E-06 29234109.E-06 35130897.E-06 20339808.E-06 
5401000.E-05 22832962.E-06 29326923.E-06 35702843.E-06 20320681.E-06 
6001000.E-05 22821393.E-06 29319415.E-06 36691930.E-06 20891479.E-06 
6601000.E-05 24772622.E-06 31880575.E-06 38184481.E-06 21817064.E-06 
7201000.E-05 24154598.E-06 30832533.E-06 39284287.E-06 22022523.E-06 
7801000.E-05 25065214.E-06 31864900.E-06 39354803.E-06 22257886.E-06 
8401000.E-05 25052859.E-06 31687354.E-06 39707440.E-06 21176478.E-06 
9001000.E-05 27166244.E-06 35546925.E-06 41916731.E-06 23948751.E-06 
9601000.E-05 26549283.E-06 33255974.E-06 41481939.E-06 22412519.E-06 
1020100.E-04 27297652.E-06 34786629.E-06 43136711.E-06 23046750.E-06 
1080100.E-04 26717145.E-06 33349475.E-06 43602905.E-06 23273190.E-06 
1140100.E-04 28487275.E-06 35817531.E-06 43196517.E-06 22984958.E-06 
1200100.E-04 29323967.E-06 36537682.E-06 44692818.E-06 23686569.E-06 
1260100.E-04 28734082.E-06 35942733.E-06 44339646.E-06 26698268.E-06 
1320100.E-04 27698200.E-06 35096434.E-06 45795057.E-06 23437564.E-06 
