============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 3000000.E-06 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=600000.E-03 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000105   3.7535E+01 -1.2246E+01  2.3826E+01
0000106   8.9388E+01 -4.7941E+01 -1.6292E+01
0000107   5.6824E+01 -1.4232E+01  9.8154E+01
0000108   8.8978E+01  2.8377E+01  2.7371E+01
0000109   7.0760E+01  2.3452E+01 -1.6916E+01
0000110   5.2308E+01  1.8618E+01 -2.9649E+01
0000111   1.0771E+02 -3.1144E+01  2.7582E+01
0000112   1.4029E+01 -2.2923E+01  1.8349E+01
0000113   3.8630E+01  3.2518E+01 -2.0566E+01
0000114   7.1968E+01 -6.7297E+01 -9.2984E+00
0000115   8.0229E+01  3.1854E+00  7.6063E+00
0000116   2.2136E+01 -1.5201E+01  1.7757E+01
0000117   3.4925E+01  3.6766E+01  1.0502E+01
0000118   1.4638E+01  1.1930E+01  1.1522E+01
0000120   8.1205E+01 -3.5078E+00  4.7484E+01
0000121   2.5976E+01 -2.3015E+01 -2.0619E-01
0000122   9.1634E+00  2.6427E+01  2.0640E+01
0000123   5.0215E+01  1.2435E+01 -2.3818E+01
0000124   2.6115E+01 -4.2136E+01 -3.0692E+01
0000125   4.0973E+01  2.9175E+01 -2.6962E+01
0000126   7.6613E+00  1.9790E+00 -1.2504E+01
0000127   1.0216E+01  9.8767E+00 -1.2977E+01
0000129   8.7883E+01  7.3595E+00  2.1073E+01
0000130   7.0896E+01  3.3152E+01 -8.8566E+00
0000131   1.2221E+02  4.2568E+01 -3.2269E+00
0000132   4.5132E+01 -3.5828E+01  3.1623E+00
0000133   9.7413E+01 -6.2201E+00 -8.0165E+00
0000134   5.5714E+01  7.9962E+00 -1.7082E+00
0000135   8.6182E+01 -1.7548E+01 -3.9977E+01
0000137   2.6685E+01 -4.9796E+00  2.0278E+00
0000138   8.4022E+01 -2.2146E+01  4.7516E+01
0000139   5.7644E+01  5.7779E-02  9.5909E+00
0000140   3.7128E+01 -1.9420E+01 -1.9379E+01
0000141   3.2000E+00  8.0855E+01  2.0840E+01
0000142   4.0743E+01 -5.1480E+00  1.5953E+01
0000143   1.1574E+02  2.9014E+01 -2.9375E+01
0000144   3.3268E+01 -1.6188E+01  1.0984E+01
0000145   2.6026E+00  2.3524E+01 -2.5364E+00
0000146   3.4474E+01  4.6402E+01  2.5210E+01
0000147   6.3334E+01  2.9728E+00  2.8867E+01
0000148   8.1902E+01 -4.8500E+00 -1.6765E+01
0000149   3.1459E+01 -4.8455E+01 -1.1855E+01
