============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 2000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=300000.E-01 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000100   1.7736E+04 -4.3807E+03  1.5225E+03
0000101   1.9313E+04  9.6026E+02  4.3328E+01
0000102   1.7708E+04 -1.2489E+03 -5.6059E+02
0000103   1.9122E+04 -1.0718E+03  1.0897E+03
0000104   1.8573E+04 -2.7502E+03 -1.4001E+03
0000105   1.8457E+04 -1.7593E+03  1.5075E+03
0000106   1.8494E+04  4.4785E+02 -3.2659E+03
0000107   1.6507E+04  3.7972E+03 -2.7720E+03
0000108   1.8464E+04 -2.4484E+03  4.7317E+02
0000109   1.7942E+04  2.0234E+03  1.4941E+03
0000110   1.8816E+04 -2.0013E+03 -2.1544E+03
0000111   1.8642E+04 -4.2765E+02  7.6307E+02
0000112   1.8409E+04  9.2769E+02  5.9889E+02
0000113   1.8678E+04  8.1122E+02  3.2531E+03
0000114   1.8806E+04  2.3597E+02  8.1852E+02
0000115   1.8183E+04  2.3815E+02  7.6945E+02
0000116   1.8607E+04  6.1209E+02 -3.4499E+03
0000117   1.9147E+04 -9.0842E+02 -4.3060E+02
0000118   1.9300E+04  5.5948E+02 -1.4169E+03
0000119   1.9126E+04 -9.2748E+02  1.0891E+03
0000120   2.0529E+04 -1.4738E+03 -3.0358E+02
0000121   1.9377E+04  6.9990E+02 -2.1327E+02
0000122   1.8481E+04 -8.4784E+02  7.5095E+02
0000123   1.9321E+04  1.0519E+02 -1.9129E+03
0000124   1.7768E+04 -8.9955E+02 -2.1281E+03
0000125   1.8584E+04  1.3076E+03  4.5679E+02
0000126   1.7732E+04  1.2420E+03 -5.9948E+02
0000127   1.9738E+04  5.8034E+02 -4.4003E+02
0000128   1.8247E+04  2.2473E+03 -3.5000E+03
0000129   1.8027E+04  1.2866E+03  1.4581E+03
0000130   1.8839E+04 -4.3318E+02 -9.4537E+02
0000131   1.9552E+04  3.1942E+01  1.3835E+03
0000132   1.7475E+04 -1.2545E+03  1.8153E+03
0000133   1.8234E+04 -2.7741E+02  2.8267E+03
0000134   1.9141E+04  3.0504E+02  3.5591E+02
0000135   1.7999E+04  7.1182E+02 -6.8261E+02
0000136   1.8568E+04  1.2179E+02  2.6366E+03
0000137   1.7529E+04 -4.3872E+02 -6.8604E+02
0000138   1.8828E+04 -1.9508E+03 -4.7787E+02
0000139   1.7521E+04 -4.7706E+03  5.9986E+02
0000140   1.8023E+04  1.0269E+03 -1.6736E+03
0000141   1.8330E+04 -8.0335E+01 -7.8884E+02
0000142   1.7727E+04 -2.2711E+03  4.7655E+03
0000143   1.9016E+04 -1.7682E+03 -2.1747E+02
0000144   1.9271E+04  4.3202E+02 -1.0912E+03
0000145   1.9453E+04 -1.5461E+03  6.4225E+02
0000146   1.9173E+04 -4.2785E+03 -4.7606E+02
0000147   1.7526E+04 -6.0940E+02 -5.7494E+03
0000148   1.8130E+04 -1.2355E+03 -4.5885E+02
0000149   1.8864E+04  1.0177E+03 -2.0423E+03
0000150   1.8439E+04  1.7072E+03 -3.2355E+03
0000151   1.9183E+04  8.1707E+02  5.8216E+02
0000152   1.7998E+04 -2.0488E+03 -2.9018E+03
0000153   1.9138E+04 -9.7698E+01  6.8930E+02
0000154   1.8884E+04 -1.4344E+03  4.7713E+02
0000155   1.9003E+04  1.8830E+03  4.8440E+02
0000156   1.9470E+04 -1.1350E+03  2.0658E+02
0000157   1.9510E+04 -1.7738E+02 -3.0642E+02
0000158   1.7648E+04 -1.5849E+03  3.2107E+02
0000159   1.9007E+04  8.6534E+02  4.5637E+01
0000160   1.9117E+04  8.5306E+02 -1.6693E+02
0000161   1.8917E+04  7.3027E+02 -5.8201E+02
0000162   1.7954E+04  1.6445E+03 -5.2082E+01
0000163   1.9338E+04  2.4824E+03  4.2613E+02
0000164   1.8387E+04  9.4948E+02  8.2258E+02
0000165   1.7881E+04 -1.4885E+03 -3.7996E+02
0000166   1.8116E+04 -3.1175E+03 -3.6946E+03
0000167   1.8932E+04 -7.2250E+02  8.9183E+02
0000168   1.8618E+04 -8.8326E+02 -1.5619E+03
0000169   1.9107E+04  1.9179E+03 -9.3610E+02
0000170   1.8533E+04 -1.1290E+03 -1.4512E+03
0000171   1.9062E+04 -5.3174E+02  1.1655E+03
0000172   1.8805E+04  1.1968E+03 -2.0987E+03
0000173   1.8231E+04  8.6980E+02  7.3808E+01
0000174   1.8684E+04 -7.5597E+02 -5.1634E+02
0000175   1.5411E+04 -5.8383E+03 -2.4898E+03
0000176   1.9538E+04 -3.7782E+03  5.4045E+02
0000177   1.9269E+04 -9.6881E+02 -7.4502E+02
0000178   1.8785E+04  1.9025E+03  2.5449E+02
0000179   1.9176E+04 -5.7282E+02 -8.1304E+01
0000180   1.8376E+04 -3.2539E+03  1.2223E+02
0000181   1.9120E+04 -1.1209E+02 -2.1641E+03
0000182   1.8425E+04  7.6333E+02  2.1814E+03
0000183   1.8857E+04  1.1423E+03 -4.4211E+03
0000184   1.7591E+04  1.5025E+03 -9.4049E+02
0000185   1.7740E+04 -1.6641E+03 -4.1148E+03
0000186   1.9967E+04 -7.7785E+02 -6.6278E+02
0000187   1.7923E+04 -2.9703E+02  1.4323E+03
0000188   1.6685E+04 -2.3891E+02 -2.7144E+03
0000189   1.7319E+04  1.6098E+03 -1.0060E+03
0000190   1.7299E+04  1.6006E+03 -9.7424E+02
0000191   1.8814E+04  1.1797E+03 -3.2167E+03
0000192   1.9239E+04 -2.8359E+03 -3.8030E+02
0000193   1.8415E+04  1.0752E+03  7.6377E+02
0000194   1.7803E+04 -1.8274E+02 -9.4041E+02
0000195   1.8384E+04 -1.6025E+03 -3.4777E+03
0000196   1.8144E+04  2.3528E+03 -8.5417E+02
0000197   1.8764E+04  6.7983E+01  6.3142E+02
0000198   1.8889E+04  6.0034E+02 -4.9090E+02
0000199   1.8562E+04 -1.5592E+03 -1.7343E+03
0000200   1.5628E+04  2.9329E+03  3.1306E+03
0000201   1.8955E+04 -5.6196E+02  8.8328E+02
0000202   1.9220E+04  8.0152E+02  1.6286E+03
