====== 300keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(300 keV) ==> GaAs( 6500 A) =============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 300 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 65000.E-01 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 222620.E-02 A   Straggling = 852842.E-03 A
 Ion Lateral Range = 709896.E-03 A   Straggling = 890188.E-03 A
 Ion Radial  Range = 111977.E-02 A   Straggling = 586720.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
3770010.E-03 57968823.E-05 70266836.E-05 94715384.E-05 40113183.E-05 
3835010.E-03 57803540.E-05 71445920.E-05 10237517.E-04 47169258.E-05 
3900010.E-03 47146279.E-05 61002331.E-05 87745080.E-05 46720614.E-05 
3965010.E-03 63487314.E-05 79072091.E-05 98187858.E-05 52926290.E-05 
4030010.E-03 60598136.E-05 71947373.E-05 97345355.E-05 43863324.E-05 
4095010.E-03 50294379.E-05 65505799.E-05 10071714.E-04 44564069.E-05 
4160010.E-03 51179114.E-05 63063534.E-05 86479082.E-05 35218422.E-05 
4225010.E-03 55702189.E-05 74749441.E-05 89385526.E-05 53337895.E-05 
4290010.E-03 44664110.E-05 50647392.E-05 72183335.E-05 22777140.E-05 
4355010.E-03 50575772.E-05 58621128.E-05 74027773.E-05 41861677.E-05 
4420010.E-03 58407075.E-05 64568013.E-05 94045784.E-05 23611896.E-05 
4485010.E-03 29103098.E-05 34435596.E-05 51762132.E-05 98736375.E-06 
4550010.E-03 18179895.E-05 23503364.E-05 76201239.E-05 11464508.E-06 
4615010.E-03 58522728.E-05 76757509.E-05 58911943.E-05 49981859.E-05 
4680010.E-03 62542261.E-05 77728062.E-05 68204601.E-05 43817357.E-05 
4745010.E-03 13323143.E-04 13323143.E-04 18051445.E-04 00000000.E+00 
4810010.E-03 28349771.E-05 28349771.E-05 38096157.E-05 00000000.E+00 
4875010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4940010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5005010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5070010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5135010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5200010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5265010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5330010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5395010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5460010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5525010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5590010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5655010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5720010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5785010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5850010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5915010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5980010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6045010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6110010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6175010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6240010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6305010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6370010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6435010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6500010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
