============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Beryllium
  Layer # 1 - Bottom Depth=150000.E+02 A
  Layer # 1 - Density =0001.8480 g/cm3
  Layer # 1 -  100 % of Be
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000100   8.0320E+06  1.5206E+05  5.2754E+04
0000101   7.8294E+06 -1.2136E+05 -7.8905E+04
0000102   8.1342E+06  5.3167E+04  2.1393E+05
0000103   7.9877E+06 -6.7274E+04  9.0055E+04
0000104   8.0380E+06 -2.9093E+05  1.5050E+05
0000105   7.9677E+06 -8.0194E+04 -8.6431E+04
0000106   8.1315E+06  9.2261E+03 -3.1012E+04
0000107   8.1442E+06  2.4313E+05  2.0353E+05
0000108   8.1012E+06  1.1587E+05 -1.0398E+05
0000109   8.0932E+06  5.0205E+04  6.4327E+04
0000110   8.1631E+06  1.0877E+05  2.1252E+05
0000111   8.0048E+06 -5.0021E+04  1.2558E+05
0000112   8.0974E+06  1.5717E+04  3.3223E+03
0000113   8.1222E+06 -3.6586E+04  1.4166E+04
0000114   8.1254E+06  5.7684E+04  4.2760E+04
0000115   7.8843E+06  3.1624E+04 -3.1961E+04
0000116   8.0438E+06 -3.7737E+04  1.0246E+05
0000117   8.1072E+06 -9.2519E+04  1.2669E+04
0000118   7.9379E+06  1.1684E+04  1.5856E+04
0000119   8.0336E+06 -8.8285E+04  1.2830E+05
0000120   7.9027E+06 -6.7738E+05 -5.1560E+05
0000121   8.0764E+06 -1.3559E+04 -2.5343E+04
0000122   7.9779E+06 -1.0652E+05  7.1824E+04
0000123   8.0206E+06  1.0703E+05 -1.6004E+04
0000124   8.1926E+06 -9.9656E+04  9.5511E+04
0000125   7.9609E+06  5.0370E+04  1.3515E+04
0000126   8.0522E+06 -2.1642E+05 -3.7432E+04
0000127   7.9290E+06  6.2707E+04  1.7629E+04
0000128   7.8501E+06 -4.3353E+04 -2.6257E+03
0000129   8.0740E+06 -4.1530E+04  5.0895E+04
0000130   8.1620E+06 -4.2831E+04  1.0281E+04
0000131   8.0963E+06  9.8016E+04  4.9097E+03
0000132   7.9549E+06 -9.8691E+04 -2.2878E+05
0000133   7.9694E+06 -2.3475E+05 -7.2888E+04
0000134   7.9712E+06  1.8098E+04 -2.5674E+04
0000135   8.2670E+06 -1.2765E+05 -1.7596E+05
0000136   8.0212E+06  3.7620E+04  3.1575E+04
0000137   8.1178E+06  1.7823E+05  2.2137E+05
0000138   7.9609E+06 -2.1385E+05 -2.3803E+04
0000139   8.2484E+06  1.9011E+05 -5.3256E+04
0000140   8.1159E+06 -1.4210E+04 -2.6309E+03
0000141   8.0280E+06 -5.9855E+04 -1.0663E+05
0000142   8.0070E+06  2.4016E+04 -2.3485E+04
0000143   7.8859E+06  1.0629E+05 -2.6145E+04
0000144   8.1058E+06  1.6376E+05 -1.4192E+05
0000145   8.0363E+06 -1.4575E+05  2.5729E+05
0000146   7.9452E+06  2.4465E+04 -7.8780E+04
0000147   8.0882E+06 -8.3159E+04 -1.5038E+05
0000148   8.2528E+06  3.0412E+05 -2.6964E+05
0000149   8.2258E+06 -2.1475E+05  3.9088E+04
0000150   7.9992E+06  1.0960E+05 -1.4035E+05
0000151   8.0193E+06  6.7348E+04 -2.0171E+04
0000152   8.0892E+06  5.8559E+04  7.1366E+04
0000153   8.1429E+06  1.1729E+05  1.0639E+05
0000154   7.7927E+06  1.4010E+05  4.9975E+02
0000155   8.0482E+06 -1.1532E+05  3.7877E+04
0000156   8.0109E+06  2.9156E+04 -8.6294E+04
0000157   8.1441E+06  1.3969E+05 -2.8881E+05
0000158   7.9955E+06  1.0417E+05 -1.0769E+05
0000159   8.1125E+06 -1.7356E+05  2.6977E+05
0000160   8.0058E+06 -3.2607E+04  9.4494E+04
0000161   8.1570E+06  6.8135E+04  1.0563E+05
0000162   8.1633E+06 -7.2953E+04 -8.2356E+04
0000163   7.9500E+06 -3.2895E+04 -4.7509E+04
0000164   8.0669E+06 -8.1296E+04 -2.5159E+04
0000165   7.9637E+06 -1.1496E+05 -5.6523E+04
0000166   7.8860E+06 -1.5820E+05  8.1902E+04
0000167   8.1294E+06 -1.5428E+04  2.0143E+05
0000168   8.0854E+06  1.4337E+04 -1.2581E+05
0000169   8.1022E+06  6.1657E+05 -1.5022E+05
0000170   8.1657E+06 -1.1449E+05 -4.3336E+04
0000171   7.9444E+06 -1.7694E+05  9.9470E+04
0000172   8.0277E+06 -2.2228E+04 -8.2897E+04
0000173   8.0435E+06 -7.2979E+04 -1.3074E+05
0000174   8.0823E+06  7.4438E+04  5.7739E+03
0000175   8.2390E+06  1.0549E+04 -8.3306E+04
0000176   8.0570E+06  5.3880E+04 -8.9045E+03
0000177   8.2954E+06  1.7461E+04  1.7336E+05
0000178   7.8965E+06  3.7044E+04  1.2804E+04
0000179   7.9501E+06  3.9171E+05 -1.6937E+04
0000180   8.1526E+06  9.2771E+04 -1.1763E+04
0000181   8.1153E+06  1.8849E+05 -1.1457E+05
0000182   8.0491E+06 -1.3141E+05 -2.0671E+05
0000183   8.1438E+06  1.0306E+05 -6.0844E+04
0000184   7.9374E+06 -6.1769E+04  1.1770E+05
0000185   7.9789E+06  1.2054E+05  1.6071E+05
0000186   8.1376E+06 -2.8076E+04  4.1290E+04
0000187   7.9641E+06  6.0676E+04  1.3723E+05
0000188   8.1929E+06  1.2390E+05 -1.5077E+05
0000189   7.9732E+06 -4.9068E+04 -4.7264E+04
0000190   7.8938E+06 -2.9654E+05 -1.0072E+05
0000191   7.9220E+06 -1.4640E+05  4.2041E+05
0000192   8.1768E+06  1.5539E+05  1.1533E+05
0000193   8.0344E+06  2.4481E+05 -8.0516E+03
0000194   8.1028E+06  6.1556E+04  2.6407E+05
0000195   8.1460E+06  1.0084E+05 -6.7768E+04
0000196   7.8822E+06 -9.4404E+04 -5.5989E+04
0000197   8.0902E+06 -8.5073E+04  2.6540E+05
0000198   8.1110E+06 -8.8156E+04 -4.5224E+04
0000199   8.0680E+06 -6.5591E+04 -5.6192E+04
0000200   8.2442E+06 -1.0438E+05 -1.1733E+04
0000201   7.9104E+06 -9.7934E+04 -1.4078E+05
0000202   8.0601E+06  4.9580E+04  7.9160E+03
0000203   8.0306E+06 -1.6597E+05 -3.0704E+05
0000204   7.9457E+06  5.9684E+04 -1.4085E+05
0000205   8.1635E+06 -8.1946E+04 -2.8092E+04
0000206   7.9835E+06  6.2321E+04 -2.0093E+03
0000207   7.9696E+06  1.0114E+05  4.1427E+04
0000208   8.0157E+06 -5.4939E+04 -5.6309E+04
0000209   8.0862E+06 -6.2200E+04 -7.4246E+04
0000210   8.1189E+06  3.1659E+03  1.8215E+05
0000211   8.3542E+06  1.2058E+05 -1.3953E+05
0000212   8.0769E+06  4.8632E+03 -2.1067E+05
0000213   7.8375E+06  2.7778E+05  7.9871E+03
0000214   8.0229E+06  1.1092E+02  8.5458E+04
0000215   7.9326E+06 -1.0649E+05 -1.7659E+05
0000216   7.9272E+06 -9.3785E+04  8.6909E+04
0000217   7.9666E+06  2.6887E+05 -1.5394E+04
0000218   8.1892E+06  1.9795E+04 -1.3716E+04
0000219   7.7624E+06  2.5952E+05  1.4130E+05
0000220   8.1418E+06  2.2106E+05  1.4698E+05
0000221   8.2344E+06 -6.9128E+03 -5.2345E+04
0000222   7.9124E+06  2.3831E+04 -1.2376E+05
0000223   7.8383E+06  1.4377E+05  1.5833E+05
0000224   8.1061E+06 -4.7585E+04  5.4772E+04
0000225   7.8553E+06 -4.2640E+03  1.6973E+05
0000226   8.0918E+06 -1.5684E+05 -1.4073E+04
0000227   7.9338E+06  1.6023E+05  8.1261E+04
0000228   8.1090E+06  5.7547E+04 -4.9262E+02
0000229   7.9237E+06 -1.8254E+05 -1.3129E+05
0000230   8.0805E+06 -1.2331E+05  1.1140E+05
0000231   7.8997E+06 -9.7852E+04  7.1603E+04
0000232   7.9923E+06 -1.2283E+05  2.4761E+05
0000233   8.0236E+06 -4.6607E+04  7.7887E+04
0000234   7.8276E+06  8.6817E+04 -3.5752E+04
0000235   7.8357E+06  1.9967E+04 -1.9068E+05
0000236   8.0035E+06 -1.3000E+05  1.0438E+05
0000237   7.8595E+06  1.9806E+05  1.9409E+05
0000238   8.1934E+06  1.0314E+05  1.0008E+05
0000239   8.0732E+06 -1.9260E+04 -5.3785E+04
0000240   8.0341E+06  1.1593E+05  1.0515E+05
0000241   8.0871E+06 -2.6034E+04  5.2469E+04
0000242   8.1495E+06  9.6306E+04 -1.9566E+05
0000243   8.1823E+06 -5.8147E+04  1.5253E+04
0000244   8.0801E+06  7.6323E+04  9.2422E+03
0000245   8.2733E+06  3.4538E+05  2.1774E+05
0000246   8.1423E+06  7.2037E+04  1.1824E+05
0000247   8.0995E+06  1.6113E+04  8.6109E+04
0000248   8.0169E+06 -5.5844E+03  5.3667E+04
0000249   7.9545E+06  1.4390E+05 -8.8335E+04
0000250   7.9161E+06 -1.1537E+05 -1.0413E+05
0000251   8.0235E+06  6.0972E+05 -2.0327E+05
0000252   8.1214E+06 -1.1588E+05 -1.1744E+05
0000253   8.0291E+06  5.8064E+04 -1.7090E+04
0000254   7.9641E+06 -2.1589E+03  7.6832E+04
0000255   7.9652E+06 -2.3904E+05 -4.4163E+04
0000256   8.0027E+06  3.1069E+04  1.2036E+05
0000257   7.8509E+06 -9.2492E+04 -3.1125E+04
0000258   8.0803E+06 -7.9465E+04 -9.0901E+04
0000259   8.0407E+06 -9.7017E+04  1.3931E+05
0000260   8.1070E+06 -2.0726E+04 -2.2851E+05
0000261   7.9786E+06 -1.6843E+03  1.4332E+05
0000262   8.0262E+06 -6.6983E+04 -9.9345E+04
0000263   8.0808E+06 -9.9392E+04 -2.2068E+05
0000264   8.1418E+06  2.4098E+04 -1.6439E+05
0000265   7.9764E+06 -4.2242E+04  7.1733E+04
0000266   7.9418E+06 -2.0096E+05 -1.4491E+05
0000267   8.0624E+06  1.6104E+05  2.3928E+05
0000268   7.9920E+06  5.8879E+04 -7.3708E+04
0000269   8.0888E+06  3.0613E+05 -3.3030E+05
0000270   8.2075E+06 -6.0516E+04 -6.4742E+04
0000271   7.8746E+06 -1.9613E+04 -6.6340E+04
0000272   7.9797E+06  8.3229E+04 -7.6255E+04
0000273   8.2805E+06 -5.7367E+04  1.6831E+05
0000274   7.9743E+06 -5.0110E+03 -3.0402E+05
0000275   8.0678E+06  4.4360E+04  1.7416E+04
0000276   8.1053E+06  2.3009E+04 -1.3557E+05
0000277   8.0893E+06  1.3796E+04 -1.2762E+05
0000278   8.0019E+06  7.4097E+04  4.5121E+04
0000279   8.1833E+06  5.9189E+03 -1.7494E+04
0000280   8.0821E+06 -1.2993E+05 -1.1660E+05
0000281   7.9263E+06  3.5224E+05 -9.8345E+04
0000282   7.9904E+06  8.0370E+04  1.3085E+04
0000283   8.0018E+06 -9.4092E+04 -1.2581E+05
0000284   8.1206E+06 -1.3339E+04  9.5513E+04
0000285   7.9701E+06 -2.8410E+05  8.4601E+04
0000286   7.9291E+06  3.6006E+04 -6.0804E+04
0000287   8.1015E+06 -1.6428E+05  7.2532E+04
0000288   8.0990E+06  1.7765E+05  4.7712E+04
0000289   8.0899E+06 -4.4692E+04  3.4546E+04
0000290   7.9896E+06 -9.9769E+04  8.1660E+04
0000291   8.1625E+06  4.0828E+04  1.1838E+05
0000292   7.9184E+06 -9.3461E+03 -1.3310E+04
0000293   7.8947E+06 -1.1742E+05 -7.2758E+04
0000294   8.1256E+06  9.6349E+02 -4.8837E+04
0000295   7.9067E+06 -1.2579E+05  1.2018E+05
0000296   8.0560E+06  4.2915E+04  2.0906E+05
0000297   8.1886E+06  1.5627E+05  7.3307E+03
0000298   7.9796E+06  5.4902E+04  2.5867E+04
0000299   7.8766E+06  2.6167E+04  1.7778E+05
0000300   8.0732E+06 -1.5878E+05 -1.3211E+04
0000301   8.0857E+06 -4.4773E+04  2.6795E+04
0000302   8.0003E+06  8.4642E+04  5.8504E+04
0000303   7.9778E+06 -9.6805E+02 -2.1894E+04
0000304   8.1284E+06  1.4661E+05  8.5245E+04
0000305   8.0262E+06  1.9147E+03  1.2030E+04
0000306   8.0684E+06 -4.0584E+04 -1.5243E+05
0000307   7.8555E+06  7.8131E+04 -6.7756E+04
0000308   8.1261E+06  6.7684E+03 -5.8910E+04
0000309   8.0466E+06  8.9842E+04 -6.3943E+04
0000310   8.2124E+06  8.9831E+04  1.5669E+05
0000311   7.9515E+06  1.6477E+04  1.2669E+05
0000312   8.0818E+06  4.1356E+04 -1.0681E+05
0000313   8.1782E+06  1.7925E+05 -5.3525E+04
0000314   7.9814E+06  4.0652E+04  3.7702E+04
0000315   7.8951E+06 -1.3902E+04  1.6717E+05
0000316   7.9699E+06 -9.7322E+01 -1.2825E+05
0000317   7.9488E+06  1.2071E+05  6.7174E+04
0000318   8.0159E+06  2.2967E+04 -5.4398E+04
0000319   8.0365E+06 -2.6869E+03 -1.4540E+05
0000320   7.9641E+06  1.5542E+05  2.2294E+04
0000321   8.0231E+06 -7.3328E+04 -8.5447E+03
0000322   8.1068E+06 -3.7682E+04 -1.1504E+05
0000323   7.9911E+06 -1.1957E+05  6.9112E+04
0000324   7.9475E+06  7.6082E+04 -8.6945E+04
0000325   7.7780E+06  2.4133E+04  2.2413E+04
0000326   7.8458E+06  1.2140E+05  1.8457E+05
